position,representation,probe_seed,checkpoint_seed,train_accuracy,train_macro_f1,final_loss,optimization_steps,pass,status,subset_size,subset_hash,scaler_state_sha256
P3,C1_ENCODER_EMBEDDING,42,42,1.0,1.0,0.9197050929069519,2,True,PASS,7,76af57bcd79ef307ed1ad253ad6f2dacee848801e15ab3724646cb049d6e9b5a,a0bd4c150b6d94db50cd71378199afa8c96d8446245f345eb0755354fb974ef8
P3,C1_ENCODER_EMBEDDING,43,43,1.0,1.0,0.2704949676990509,3,True,PASS,7,76af57bcd79ef307ed1ad253ad6f2dacee848801e15ab3724646cb049d6e9b5a,4d47a23b6be8495b08553849f6f1f81d1d3e63b1c42c1f542145e097902b0ee6
P3,C1_ENCODER_EMBEDDING,44,44,1.0,1.0,1.4678192138671875,2,True,PASS,7,76af57bcd79ef307ed1ad253ad6f2dacee848801e15ab3724646cb049d6e9b5a,6a7c91e09fd56275bc5ad08ec9fc082f4227f13a744c30632cd6a8806a26904d
P3,C1_ENCODER_EMBEDDING,45,45,1.0,1.0,1.3956388235092163,2,True,PASS,7,76af57bcd79ef307ed1ad253ad6f2dacee848801e15ab3724646cb049d6e9b5a,4e0a34f07f9b57050a47e8cae9c53b618e490d7eca1af16f9bb6faac5abb80fe
P3,C1_ENCODER_EMBEDDING,46,46,1.0,1.0,1.388770341873169,2,True,PASS,7,76af57bcd79ef307ed1ad253ad6f2dacee848801e15ab3724646cb049d6e9b5a,7ac9c45305e57a5c50c912e2bc722d37df47a2c7180e0f77abbf40446421f1b8
P3,PEAK_DESCRIPTOR,,,,,,0,,NOT_RUN_PEAK_DESCRIPTOR_NOT_VALIDATED,0,,
P4,RAW_SIGNAL_281,42,,1.0,1.0,0.4728732407093048,3,True,PASS,7,366db94dc1f38ec883c932e0e3a8cdd48df179cb178b82410ed42af169a07903,5feb45b5cfb1dae052399db5deeecfe982f1b08638e3c337d47bc095628ffa9b
P4,RAW_SIGNAL_281,43,,1.0,1.0,0.769320011138916,2,True,PASS,7,366db94dc1f38ec883c932e0e3a8cdd48df179cb178b82410ed42af169a07903,5feb45b5cfb1dae052399db5deeecfe982f1b08638e3c337d47bc095628ffa9b
P4,RAW_SIGNAL_281,44,,1.0,1.0,0.3669896423816681,4,True,PASS,7,366db94dc1f38ec883c932e0e3a8cdd48df179cb178b82410ed42af169a07903,5feb45b5cfb1dae052399db5deeecfe982f1b08638e3c337d47bc095628ffa9b
P4,RAW_SIGNAL_281,45,,1.0,1.0,0.7510570883750916,2,True,PASS,7,366db94dc1f38ec883c932e0e3a8cdd48df179cb178b82410ed42af169a07903,5feb45b5cfb1dae052399db5deeecfe982f1b08638e3c337d47bc095628ffa9b
P4,RAW_SIGNAL_281,46,,1.0,1.0,0.6248793005943298,2,True,PASS,7,366db94dc1f38ec883c932e0e3a8cdd48df179cb178b82410ed42af169a07903,5feb45b5cfb1dae052399db5deeecfe982f1b08638e3c337d47bc095628ffa9b
P4,FIRST_DIFFERENCE_280,42,,1.0,1.0,0.5951305031776428,2,True,PASS,7,366db94dc1f38ec883c932e0e3a8cdd48df179cb178b82410ed42af169a07903,4750ed789dbd0d87ce77155aa4f5a826803f28793b7050486a3c7af96a7801f7
P4,FIRST_DIFFERENCE_280,43,,1.0,1.0,0.5869373679161072,3,True,PASS,7,366db94dc1f38ec883c932e0e3a8cdd48df179cb178b82410ed42af169a07903,4750ed789dbd0d87ce77155aa4f5a826803f28793b7050486a3c7af96a7801f7
P4,FIRST_DIFFERENCE_280,44,,1.0,1.0,1.363201379776001,2,True,PASS,7,366db94dc1f38ec883c932e0e3a8cdd48df179cb178b82410ed42af169a07903,4750ed789dbd0d87ce77155aa4f5a826803f28793b7050486a3c7af96a7801f7
P4,FIRST_DIFFERENCE_280,45,,1.0,1.0,0.3471170961856842,3,True,PASS,7,366db94dc1f38ec883c932e0e3a8cdd48df179cb178b82410ed42af169a07903,4750ed789dbd0d87ce77155aa4f5a826803f28793b7050486a3c7af96a7801f7
P4,FIRST_DIFFERENCE_280,46,,1.0,1.0,0.7001065611839294,2,True,PASS,7,366db94dc1f38ec883c932e0e3a8cdd48df179cb178b82410ed42af169a07903,4750ed789dbd0d87ce77155aa4f5a826803f28793b7050486a3c7af96a7801f7
P4,C1_ENCODER_EMBEDDING,42,42,1.0,1.0,2.0031230449676514,1,True,PASS,7,366db94dc1f38ec883c932e0e3a8cdd48df179cb178b82410ed42af169a07903,a6143c5ac2c272e4ae9fe8800db1c3c79b47af18ad46a085cb590005dd9e7875
P4,C1_ENCODER_EMBEDDING,43,43,1.0,1.0,0.42131444811820984,3,True,PASS,7,366db94dc1f38ec883c932e0e3a8cdd48df179cb178b82410ed42af169a07903,2f467dcc9d3291798281a7cfc7649aa38123adbf585e35c8e0f3b616fcb9ec25
P4,C1_ENCODER_EMBEDDING,44,44,1.0,1.0,0.33240628242492676,3,True,PASS,7,366db94dc1f38ec883c932e0e3a8cdd48df179cb178b82410ed42af169a07903,cacb95ad459a6f496e3033ad48ca9b05a0408489ee265a3736472000cc4ddb08
P4,C1_ENCODER_EMBEDDING,45,45,1.0,1.0,0.8272218704223633,2,True,PASS,7,366db94dc1f38ec883c932e0e3a8cdd48df179cb178b82410ed42af169a07903,cdceed936e97e9583014b73baf8b598ebb40dc94a55bf0cc1cadfba1320884d5
P4,C1_ENCODER_EMBEDDING,46,46,1.0,1.0,1.1761707067489624,2,True,PASS,7,366db94dc1f38ec883c932e0e3a8cdd48df179cb178b82410ed42af169a07903,0f73529c8f3ee22f9035e73ba7ad0ef8a893aec607f22df7f4a92028136f73c4
P4,PEAK_DESCRIPTOR,,,,,,0,,NOT_RUN_PEAK_DESCRIPTOR_NOT_VALIDATED,0,,
