position,representation,probe_seed,checkpoint_seed,folds_combined,oof_condition_blocks,oof_rows,block_accuracy,block_macro_f1,row_accuracy,row_macro_f1,block_confusion_matrix,block_prediction_sha256,row_prediction_sha256,estimand,block_accuracy_seed_variance,block_macro_f1_seed_variance,variance_role
P3,FIRST_DIFFERENCE_280,45,,3,63,3150,0.38095238095238093,0.3621758848466922,0.37714285714285717,0.3580569011525559,"[[5,0,1,2,0,1,0],[4,2,2,0,0,0,1],[1,3,4,0,0,0,1],[2,0,1,3,0,1,2],[3,0,0,0,1,2,3],[0,0,0,1,0,6,2],[0,1,1,0,0,4,3]]",4aa130fcd4cc13648980b484604d1445669b314f7f74a32b2345051c82e4d888,990bc43f4843b62844cc7ae554f7964ccb8f89387976fac0a4ccc52d1f7b2b1e,one pooled 63-block out-of-fold set,,,
P3,FIRST_DIFFERENCE_280,46,,3,63,3150,0.3968253968253968,0.37556351694282725,0.40285714285714286,0.38111868036772434,"[[6,0,1,0,0,1,1],[3,1,3,1,0,0,1],[3,1,4,0,0,0,1],[2,0,0,3,3,1,0],[6,0,0,1,1,0,1],[0,0,0,1,1,5,2],[0,0,1,0,1,2,5]]",4b79ce4dc1c4ad389e9be29862d4c77f29bd0fc93d6e4c641167c51831abaa1e,aaa1b29813755c57821b6b1293fc47c580b6b49c93ddfa4e0119647d5602c7ea,one pooled 63-block out-of-fold set,,,
P3,C1_ENCODER_EMBEDDING,42,42,3,63,3150,0.9841269841269841,0.9840778416629811,0.9698412698412698,0.9698464139525468,"[[9,0,0,0,0,0,0],[0,9,0,0,0,0,0],[0,0,9,0,0,0,0],[0,0,0,9,0,0,0],[0,0,0,0,9,0,0],[0,0,0,1,0,8,0],[0,0,0,0,0,0,9]]",565d03643071a7a19a34670bade136679775eadac6b25430c377d03c1f81fbbb,9855b906c43f09ad50c9ce268f9f7dbccfefb1afee82db0b610bcca14e9aae36,one pooled 63-block out-of-fold set,,,
P3,C1_ENCODER_EMBEDDING,43,43,3,63,3150,0.9841269841269841,0.9840778416629811,0.9676190476190476,0.9673495174361161,"[[9,0,0,0,0,0,0],[0,9,0,0,0,0,0],[0,0,9,0,0,0,0],[0,0,0,9,0,0,0],[0,0,0,0,8,1,0],[0,0,0,0,0,9,0],[0,0,0,0,0,0,9]]",9457e304f3cc6f8fc81ec6d6b8ab46800adb6996d17c424bb25802668657da15,394090cfb62881604e57d6974446713589567dd07df4f3fd9a6e79e33cc8285c,one pooled 63-block out-of-fold set,,,
P3,C1_ENCODER_EMBEDDING,44,44,3,63,3150,0.8888888888888888,0.8865705931495407,0.861904761904762,0.8596028148852003,"[[9,0,0,0,0,0,0],[0,6,1,1,0,1,0],[0,0,8,0,0,0,1],[0,0,0,9,0,0,0],[0,0,0,0,7,1,1],[0,0,0,1,0,8,0],[0,0,0,0,0,0,9]]",0bc5b2f702166dc7e181a2ad6a123bb8f02dfe00c25cb0f1c820b10bc75b4918,ceef086ef622b8d4a0f5f37097e390b9390e6210a37cd990c8f8da88aa297b10,one pooled 63-block out-of-fold set,,,
P3,C1_ENCODER_EMBEDDING,45,45,3,63,3150,0.873015873015873,0.8603628225919248,0.86,0.848424278186531,"[[9,0,0,0,0,0,0],[0,8,0,1,0,0,0],[0,0,9,0,0,0,0],[0,0,0,9,0,0,0],[1,1,0,0,4,1,2],[0,0,1,1,0,7,0],[0,0,0,0,0,0,9]]",a07dbfc1947cc462c8e3d10d830f25cac81fa3f0f677f978f892c32cf431cc30,adf592650fd27e946fc9ad6de1aa2fc1755d418806de7089f450113af746db7a,one pooled 63-block out-of-fold set,,,
P3,C1_ENCODER_EMBEDDING,46,46,3,63,3150,0.8412698412698413,0.8322700065181268,0.8253968253968254,0.8163164470925521,"[[9,0,0,0,0,0,0],[0,4,1,2,0,2,0],[0,0,8,0,0,0,1],[1,0,0,8,0,0,0],[0,0,0,0,7,0,2],[0,0,0,1,0,8,0],[0,0,0,0,0,0,9]]",c76718c1b74c3395b3f291993de9667249d3339d778df986c813b058c9ed4118,c8d7c4ac297f62feada704a5a07cda46838e8f4d6395882241abf00ec5297c96,one pooled 63-block out-of-fold set,,,
P3,RAW_SIGNAL_281,MEAN,,3,63,3150,0.5492063492063493,0.5362875075235324,,,,,,descriptive equal-weight mean of five pooled 63-block seed estimands,0.0006651549508692363,0.0005387342006540241,probe-seed variance
P3,FIRST_DIFFERENCE_280,MEAN,,3,63,3150,0.3714285714285714,0.35609032378009237,,,,,,descriptive equal-weight mean of five pooled 63-block seed estimands,0.0018745275888133028,0.0017836624821271445,probe-seed variance
P3,C1_ENCODER_EMBEDDING,MEAN,ALIGNED_42_TO_46,3,63,3150,0.9142857142857143,0.9094718211171109,,,,,,descriptive equal-weight mean of five pooled 63-block seed estimands,0.003487024439405389,0.004005679351865375,aligned checkpoint-plus-probe seed variance
P4,RAW_SIGNAL_281,42,,3,63,3150,0.2857142857142857,0.26946397288012197,0.28634920634920635,0.27115540787538656,"[[5,1,0,1,1,1,0],[1,3,3,0,1,0,1],[1,3,1,1,1,0,2],[1,0,0,3,1,3,1],[2,0,0,3,2,2,0],[2,1,0,2,1,3,0],[2,1,0,2,0,3,1]]",f3e20c676606ae0d8ee829329162b525c00c0b4a77a376caf23919cf7d0afae5,170c31648fc6ead73917567a99b40d1a49ff7c1b2327146c4a3ec1efcd781e62,one pooled 63-block out-of-fold set,,,
P4,RAW_SIGNAL_281,43,,3,63,3150,0.2698412698412698,0.25186200962598476,0.26825396825396824,0.2502933639500198,"[[3,2,0,2,1,1,0],[2,1,4,0,1,1,0],[0,0,3,2,2,0,2],[4,0,0,3,0,2,0],[2,1,1,1,1,2,1],[2,0,0,1,0,5,1],[1,1,1,3,0,2,1]]",46d1b78a44ee3889ffeb1db233d770831e1ead799f5bf7c18821b5150a4d608c,2a36c4fe57ec0e5e94c721b16dd7d49a0b866b883cd588f4eeb5796007048f83,one pooled 63-block out-of-fold set,,,
P4,RAW_SIGNAL_281,44,,3,63,3150,0.2857142857142857,0.25973728788374095,0.28285714285714286,0.25743106771530705,"[[3,0,1,1,1,3,0],[0,5,2,0,0,1,1],[1,5,2,0,0,0,1],[1,0,1,2,0,4,1],[3,0,2,1,0,2,1],[2,1,0,1,0,4,1],[0,2,3,2,0,0,2]]",79f3686cee69c8531e9fcf754f3524d6dc250d90f954dea8948559f3c5f2f9b2,91473cef75a0de2ac917e1d95b87aeca9ea46ca47495d7cce9371c2650a9744d,one pooled 63-block out-of-fold set,,,
P4,RAW_SIGNAL_281,45,,3,63,3150,0.23809523809523808,0.23399749373433582,0.24285714285714285,0.23979804817423117,"[[4,0,1,3,1,0,0],[1,3,3,0,1,0,1],[1,3,3,1,0,0,1],[4,0,0,2,0,1,2],[4,0,1,1,0,1,2],[2,0,0,1,4,2,0],[0,0,2,2,2,2,1]]",8ea30e65635c9b6008a5f99fbfe22d37c877ae66ab3fa8c6d5179ee92ca90c33,3f2b8ce08c76bf75152f459626ad1284ba298a7e68aed24ecf1cb3efe325addc,one pooled 63-block out-of-fold set,,,
P4,RAW_SIGNAL_281,46,,3,63,3150,0.20634920634920634,0.19850222017404678,0.20476190476190476,0.19723354702799026,"[[1,1,1,0,3,2,1],[0,3,2,0,1,1,2],[0,4,4,0,1,0,0],[1,1,2,2,1,2,0],[4,0,1,2,1,1,0],[2,0,1,3,2,1,0],[1,1,2,2,1,1,1]]",b1203625da9de000e3169fbcb7decc6b11ece9aaf92680ce5da2ecf459244554,8df3020ef8603f468562b772524c898777857f12df868f5572a30d444ee54fcd,one pooled 63-block out-of-fold set,,,
P4,FIRST_DIFFERENCE_280,42,,3,63,3150,0.31746031746031744,0.28647732777321455,0.31587301587301586,0.28640160393178976,"[[1,1,3,0,3,0,1],[2,2,2,0,1,1,1],[0,0,5,2,0,2,0],[1,0,2,1,2,2,1],[1,0,0,1,3,3,1],[1,0,0,0,1,7,0],[2,4,0,1,0,1,1]]",ecbb99a0026690960510003dc7e4e4259584175ecfa99e8739c118d82f1f2380,ae0f7aea5fdb853f813e8804ae3a883be7b01f7688c82235d81ad6fa947d732c,one pooled 63-block out-of-fold set,,,
P4,FIRST_DIFFERENCE_280,43,,3,63,3150,0.2857142857142857,0.2710306610682551,0.2904761904761905,0.2766051283570355,"[[1,1,2,0,4,0,1],[2,3,2,0,0,1,1],[0,1,5,2,0,0,1],[0,1,1,0,3,2,2],[1,2,0,2,2,1,1],[1,0,1,1,1,3,2],[0,1,2,2,0,0,4]]",aac3c91d4555ea4501502953b0e43d93d1f146d544162947bccdfd351b7744bf,093f23ea7a5ec16fb6e56a912d7118405cbd20f703150b9ea9fdbf7065a1b019,one pooled 63-block out-of-fold set,,,
P4,FIRST_DIFFERENCE_280,44,,3,63,3150,0.15873015873015872,0.1484126984126984,0.16476190476190475,0.15564006109967446,"[[2,1,1,1,3,0,1],[1,1,3,1,1,1,1],[1,1,1,1,1,1,3],[1,0,1,0,2,3,2],[2,0,0,0,1,5,1],[1,0,0,0,3,3,2],[1,2,0,2,0,2,2]]",745109ddfb77c25e4b366b6b065e9d8e1f06ad70742b957992a20877aed4ea2c,620c64e1772f6ebad8f7b9a41c1dfc01480c74002d0278fdb45c337ca7dde8db,one pooled 63-block out-of-fold set,,,
