position,scheme,target_type,target,metric,replicates,estimate,ci_low,ci_high,note
P3,block_plus_checkpoint_seed,representation_contrast,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.5582007742879038,0.4436826013441811,0.666242190479347,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P3,block_plus_checkpoint_seed,representation_contrast,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,block_macro_f1_difference,10000,-0.37765987146559626,-0.49476749224997635,-0.2525518116038616,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P3,block_plus_checkpoint_seed,representation_contrast,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.1805409028223075,0.08025358467273548,0.27581623663995947,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P3,both_seed_dimensions,representation_contrast,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.5575600566226029,0.4321792835082929,0.6784164130201642,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P3,both_seed_dimensions,representation_contrast,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,block_macro_f1_difference,10000,-0.3772273285443578,-0.503526961580747,-0.24586038865306892,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P3,both_seed_dimensions,representation_contrast,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.18033272807824502,0.06554980002786855,0.29493540855110695,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P3,fold_level_aggregate,representation_contrast,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,mean_fold_block_macro_f1_difference,10000,0.5723609804058376,0.4800453514739228,0.6676748648177218,three synchronized folds resampled as aggregate units
P3,fold_level_aggregate,representation_contrast,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,mean_fold_block_macro_f1_difference,10000,-0.3786065661375661,-0.46625850340136044,-0.31131519274376407,three synchronized folds resampled as aggregate units
P3,fold_level_aggregate,representation_contrast,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,mean_fold_block_macro_f1_difference,10000,0.19375441426827136,0.16873015873015873,0.21146171289028437,three synchronized folds resampled as aggregate units
P4,tagid_stratified_block_only,representation,RAW_SIGNAL_281,block_macro_f1,10000,0.23904719206346425,0.1712104285853498,0.3119627008302801,
P4,tagid_stratified_block_only,representation,RAW_SIGNAL_281,block_accuracy,10000,0.2580711111111111,0.18730158730158727,0.3365079365079365,
P4,tagid_stratified_block_only,representation,FIRST_DIFFERENCE_280,block_macro_f1,10000,0.23159144316441102,0.1701964477601595,0.29855379748972233,
P4,tagid_stratified_block_only,representation,FIRST_DIFFERENCE_280,block_accuracy,10000,0.2538701587301587,0.19365079365079363,0.32063492063492066,
P4,tagid_stratified_block_only,representation,C1_ENCODER_EMBEDDING,block_macro_f1,10000,0.1439927639747321,0.09731135629855898,0.19294805179177132,
P4,tagid_stratified_block_only,representation,C1_ENCODER_EMBEDDING,block_accuracy,10000,0.15274888888888888,0.10158730158730159,0.20634920634920634,
P4,tagid_stratified_block_only,representation_contrast,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,-0.08759867918967891,-0.15425246723431832,-0.0235560097139516,
P4,tagid_stratified_block_only,representation_contrast,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,block_macro_f1_difference,10000,0.09505442808873217,0.017298294627301525,0.1746540964722634,
P4,tagid_stratified_block_only,representation_contrast,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.007455748899053262,-0.07440718229315381,0.08875920238701704,
P4,block_plus_probe_seed,representation_contrast,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,-0.08790875529414584,-0.18610830994349065,0.01530830404001273,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P4,block_plus_probe_seed,representation_contrast,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,block_macro_f1_difference,10000,0.09319808549869697,-0.001477375095595189,0.1891290100895243,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P4,block_plus_probe_seed,representation_contrast,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.0052893302045511304,-0.0974951925462748,0.11080370906770591,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P4,block_plus_checkpoint_seed,representation_contrast,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,-0.08826223576472852,-0.16405697425225663,-0.012375190018090967,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P4,block_plus_checkpoint_seed,representation_contrast,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,block_macro_f1_difference,10000,0.09488241792133154,0.008548160016803918,0.1861649824993233,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P4,block_plus_checkpoint_seed,representation_contrast,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.006620182156602997,-0.07435799603940514,0.08680081547476691,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P4,both_seed_dimensions,representation_contrast,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,-0.08804688744709338,-0.1812194211764034,0.006450191364144335,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P4,both_seed_dimensions,representation_contrast,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,block_macro_f1_difference,10000,0.09410848737683207,-0.0022636988745986294,0.19107483536607528,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P4,both_seed_dimensions,representation_contrast,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.006061599929738694,-0.09656729648274363,0.11616254102223368,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P4,fold_level_aggregate,representation_contrast,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,mean_fold_block_macro_f1_difference,10000,-0.08951188582317156,-0.1291424448567306,-0.04813012384440957,three synchronized folds resampled as aggregate units
P4,fold_level_aggregate,representation_contrast,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,mean_fold_block_macro_f1_difference,10000,0.09468625383082524,0.04813234384662954,0.15616780045351475,three synchronized folds resampled as aggregate units
P4,fold_level_aggregate,representation_contrast,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,mean_fold_block_macro_f1_difference,10000,0.005174368007653706,-0.04276850133992993,0.03211930926216644,three synchronized folds resampled as aggregate units
