position,representation,probe_seed,class_index,tag_id,precision,recall,f1,support_blocks,unit
P1,C1_ENCODER_EMBEDDING,45,4,5,0.8,0.4444444444444444,0.5714285714285714,9,condition_block
P1,C1_ENCODER_EMBEDDING,45,5,6,0.875,0.7777777777777778,0.823529411764706,9,condition_block
P1,C1_ENCODER_EMBEDDING,45,6,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,9,condition_block
P1,C1_ENCODER_EMBEDDING,46,0,1,0.8181818181818182,1.0,0.9,9,condition_block
P1,C1_ENCODER_EMBEDDING,46,1,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,9,condition_block
P1,C1_ENCODER_EMBEDDING,46,2,3,0.625,0.5555555555555556,0.5882352941176471,9,condition_block
P1,C1_ENCODER_EMBEDDING,46,3,4,0.7272727272727273,0.8888888888888888,0.7999999999999999,9,condition_block
P1,C1_ENCODER_EMBEDDING,46,4,5,1.0,0.6666666666666666,0.8,9,condition_block
P1,C1_ENCODER_EMBEDDING,46,5,6,0.7777777777777778,0.7777777777777778,0.7777777777777778,9,condition_block
P1,C1_ENCODER_EMBEDDING,46,6,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,9,condition_block
P2,RAW_SIGNAL_281,42,0,1,0.75,0.3333333333333333,0.46153846153846156,9,condition_block
P2,RAW_SIGNAL_281,42,1,2,0.0,0.0,0.0,9,condition_block
P2,RAW_SIGNAL_281,42,2,3,0.25,0.2222222222222222,0.23529411764705882,9,condition_block
P2,RAW_SIGNAL_281,42,3,4,0.1111111111111111,0.1111111111111111,0.1111111111111111,9,condition_block
P2,RAW_SIGNAL_281,42,4,5,0.2777777777777778,0.5555555555555556,0.3703703703703704,9,condition_block
P2,RAW_SIGNAL_281,42,5,6,0.23529411764705882,0.4444444444444444,0.30769230769230765,9,condition_block
P2,RAW_SIGNAL_281,42,6,7,0.2857142857142857,0.2222222222222222,0.25,9,condition_block
P2,RAW_SIGNAL_281,43,0,1,0.16666666666666666,0.1111111111111111,0.13333333333333333,9,condition_block
P2,RAW_SIGNAL_281,43,1,2,0.2857142857142857,0.2222222222222222,0.25,9,condition_block
P2,RAW_SIGNAL_281,43,2,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,9,condition_block
P2,RAW_SIGNAL_281,43,3,4,0.16666666666666666,0.2222222222222222,0.1904761904761905,9,condition_block
P2,RAW_SIGNAL_281,43,4,5,0.2727272727272727,0.3333333333333333,0.3,9,condition_block
P2,RAW_SIGNAL_281,43,5,6,0.38461538461538464,0.5555555555555556,0.4545454545454546,9,condition_block
P2,RAW_SIGNAL_281,43,6,7,0.4,0.2222222222222222,0.2857142857142857,9,condition_block
P2,RAW_SIGNAL_281,44,0,1,1.0,0.2222222222222222,0.3636363636363636,9,condition_block
P2,RAW_SIGNAL_281,44,1,2,0.42857142857142855,0.3333333333333333,0.375,9,condition_block
P2,RAW_SIGNAL_281,44,2,3,0.6666666666666666,0.4444444444444444,0.5333333333333333,9,condition_block
P2,RAW_SIGNAL_281,44,3,4,0.2222222222222222,0.2222222222222222,0.2222222222222222,9,condition_block
P2,RAW_SIGNAL_281,44,4,5,0.3,0.6666666666666666,0.41379310344827586,9,condition_block
P2,RAW_SIGNAL_281,44,5,6,0.2857142857142857,0.4444444444444444,0.34782608695652173,9,condition_block
P2,RAW_SIGNAL_281,44,6,7,0.4,0.2222222222222222,0.2857142857142857,9,condition_block
P2,RAW_SIGNAL_281,45,0,1,0.2222222222222222,0.2222222222222222,0.2222222222222222,9,condition_block
P2,RAW_SIGNAL_281,45,1,2,0.3333333333333333,0.2222222222222222,0.26666666666666666,9,condition_block
P2,RAW_SIGNAL_281,45,2,3,0.4,0.4444444444444444,0.4210526315789474,9,condition_block
P2,RAW_SIGNAL_281,45,3,4,0.16666666666666666,0.1111111111111111,0.13333333333333333,9,condition_block
P2,RAW_SIGNAL_281,45,4,5,0.23076923076923078,0.3333333333333333,0.27272727272727276,9,condition_block
