arm,budget,source_seed,support_seed,fold,query_rows,tagid_centroid_ratio_source,tagid_centroid_ratio_adapted,condition_centroid_ratio_source,condition_centroid_ratio_adapted,embedding_mean_cosine_to_source,embedding_rms_displacement
FULL_FT,100,42,104729,0,1050,0.3990714458917763,0.3937126314652946,0.41990173673034487,0.4007637940724466,0.951349132443815,0.1541335440867911
FULL_FT,100,42,104729,1,1050,0.24062580635084932,0.23022441577854574,0.3563884454676551,0.3717068520778715,0.9789644901037536,0.10046303200603411
FULL_FT,100,42,104729,2,1050,0.39355465087183666,0.3932844376623279,0.15314837067103762,0.1583533255765928,0.9587499325604333,0.14216156588115544
FULL_FT,100,43,104729,0,1050,0.35083553380685667,0.34749067151544366,0.38201907862816953,0.38969658390596085,0.9513462645253383,0.15206541636965087
FULL_FT,100,43,104729,1,1050,0.4318675011667974,0.38820846084532856,0.23652941827618412,0.24904344387136818,0.9684381834065325,0.12052057553715471
FULL_FT,100,43,104729,2,1050,0.2850925954436252,0.31086164640142827,0.23770033773934993,0.21169308442822973,0.9465219541583679,0.15948616864385548
FULL_FT,100,44,104729,0,1050,0.3359376394132354,0.34115778228770743,0.4439472881156281,0.41858868026430757,0.9425879356620466,0.15495894189499768
FULL_FT,100,44,104729,1,1050,0.3252165218598714,0.29560534179883247,0.363643755463654,0.40948526511747413,0.9560115047123535,0.1344517358113117
FULL_FT,100,44,104729,2,1050,0.31484181963156,0.33533139090763636,0.24465927245371194,0.21707236068818395,0.9453081422737383,0.1489488325715464
FULL_FT,100,45,104729,0,1050,0.291454039461642,0.3106620347622454,0.5925137757724315,0.544316225669206,0.9564368584307992,0.13899889433075768
FULL_FT,100,45,104729,1,1050,0.399019870354545,0.3603416070026077,0.3571025649385932,0.38163632215248194,0.9659620418227447,0.12243283336360898
FULL_FT,100,45,104729,2,1050,0.35867493003009143,0.3581399356369302,0.24192022701435978,0.23069553699996734,0.9517466256440978,0.1475168040388598
FULL_FT,100,46,104729,0,1050,0.28430178392109473,0.28971522871829586,0.48597869679004074,0.4742743162063075,0.959470240407451,0.13274741232334963
FULL_FT,100,46,104729,1,1050,0.3619087135286337,0.3375852756549638,0.2742901087423937,0.29517862109493836,0.9694545799733387,0.11553475836703894
FULL_FT,100,46,104729,2,1050,0.39790910279146224,0.3741603573147712,0.1826697627210754,0.1865837192102285,0.9567746597610244,0.13652277172907565
FULL_FT,500,42,104729,0,1050,0.3990714458917763,0.3932189763059219,0.41990173673034487,0.3993952455793643,0.9505482284371659,0.15601612045627264
FULL_FT,500,42,104729,1,1050,0.24062580635084932,0.22905049471348266,0.3563884454676551,0.37804254866896414,0.979013381234058,0.10053374686719731
FULL_FT,500,42,104729,2,1050,0.39355465087183666,0.3958079003030229,0.15314837067103762,0.15710329877327575,0.9586703153529277,0.14229355584468859
FULL_FT,500,43,104729,0,1050,0.35083553380685667,0.3455999023672518,0.38201907862816953,0.3955467045580618,0.9508248143026435,0.1527607619074037
FULL_FT,500,43,104729,1,1050,0.4318675011667974,0.3899537484463121,0.23652941827618412,0.24756370913205128,0.9666250659300774,0.12414115350357309
FULL_FT,500,43,104729,2,1050,0.2850925954436252,0.3115797460685515,0.23770033773934993,0.2153124381432276,0.9433615681513798,0.16435506340909695
FULL_FT,500,44,104729,0,1050,0.3359376394132354,0.33879250456031884,0.4439472881156281,0.4189463310572914,0.9458122103941691,0.1502715405516621
FULL_FT,500,44,104729,1,1050,0.3252165218598714,0.29232541794990063,0.363643755463654,0.40999382845432547,0.9566041483215332,0.13355585193760033
FULL_FT,500,44,104729,2,1050,0.31484181963156,0.33782833380002886,0.24465927245371194,0.21836509457208353,0.9454959476723743,0.14860260259009292
FULL_FT,500,45,104729,0,1050,0.291454039461642,0.3135829410611287,0.5925137757724315,0.5331727666780021,0.9543486671372449,0.14256580668344324
FULL_FT,500,45,104729,1,1050,0.399019870354545,0.3565535069418532,0.3571025649385932,0.39062261357616274,0.9645785497046943,0.12503628015229867
FULL_FT,500,45,104729,2,1050,0.35867493003009143,0.35901974774016265,0.24192022701435978,0.22908980667358372,0.9511630401662888,0.1481215823345392
FULL_FT,500,46,104729,0,1050,0.28430178392109473,0.29020739455702976,0.48597869679004074,0.4743984833468817,0.9612371340416032,0.13062170491789932
FULL_FT,500,46,104729,1,1050,0.3619087135286337,0.3353424871752787,0.2742901087423937,0.29020557186185925,0.966155544770583,0.12172676535582053
FULL_FT,500,46,104729,2,1050,0.39790910279146224,0.3745345420505436,0.1826697627210754,0.18546847108207518,0.9568634198447079,0.13673908635571394
