method,budget,true_class_index,predicted_class_index,count_across_100_units,row_normalized
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,5,1,6301,0.14002222222222221
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,5,2,1000,0.022222222222222223
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,5,3,12201,0.27113333333333334
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,5,4,8788,0.1952888888888889
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,5,5,6324,0.14053333333333334
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,5,6,2020,0.04488888888888889
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,6,0,10371,0.23046666666666665
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,6,1,4040,0.08977777777777778
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,6,2,5080,0.11288888888888889
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,6,3,5521,0.12268888888888889
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,6,4,1000,0.022222222222222223
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,6,5,7088,0.1575111111111111
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,6,6,11900,0.2644444444444444
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,0,0,3896,0.08657777777777778
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,0,1,6546,0.14546666666666666
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,0,2,10402,0.23115555555555556
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,0,3,2360,0.052444444444444446
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,0,4,5138,0.11417777777777778
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,0,5,5446,0.12102222222222223
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,0,6,11212,0.24915555555555555
