arm,budget,source_seed,support_seed,fold,prediction_sha256,prediction_frozen_before_open,label_access_phase,seal_state_after_open
FULL_FT,35,42,380041,0,8c6c858fdb0faac7117f7bbf0e13c52b0e3e458d20a999d2b99b9f0d21f2fa76,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,100,42,380041,0,a842fff75b07d0bb15e6e2926df25a1846052cd0e6932ce88b4a0841c8faeecf,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,100,42,380041,0,f2b82fb2f5cfaa859dde58b61b9e5aca7ab9c852c39880c821bd769c5e9fa583,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,500,42,380041,0,f60cb549c1490d130e6aed075310a93e9aaeb938ac51bf7cc65c4489991557da,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,500,42,380041,0,a839fcabbbca3023faaa713d4121ffa7ad5664d8e340f8e9b2c3090ca74d7534,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,7,42,405019,0,6b4f1e3aa21f40bfa2cced02c74b44b135cbdb4383e633188357559160ecb5f9,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,7,42,405019,0,07337f67aef388d18b862eac79c12a187245298ad0ad823eafce395323e7ebb8,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,35,42,405019,0,947914303445033c31aabc5724cabeb7bb41c7c6a6de804b309e265d64ceeda8,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,35,42,405019,0,a97467ddfeaf532683e30630244ddd8654a95e4c93dcd03339f9f4c9cb11ae1c,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,100,42,405019,0,7bc423b49b352ec2aeca9f59f30de48fae81e53bb0fe729ed97879781df80c81,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,100,42,405019,0,f6773be5ae185a13686c57b53e900c81bf4bdf313e9ace16c7934cd9cd7e392d,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,500,42,405019,0,7bc423b49b352ec2aeca9f59f30de48fae81e53bb0fe729ed97879781df80c81,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,500,42,405019,0,a839fcabbbca3023faaa713d4121ffa7ad5664d8e340f8e9b2c3090ca74d7534,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,7,42,430007,0,07c4c1af03c9161a231de929fca3fad5f83cc0db45f085178ba3bc61d78359d0,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,7,42,430007,0,a292ddcd2ca27a3ea4d6a7a56787b89ca9287be1133bf9cfa7cc33f8c0bace1e,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,35,42,430007,0,a4a0f452993f43b2070993b92955f56cff72cc957070320b1cb24b72bf33f72d,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,35,42,430007,0,f2b9a2ed6e493d2df0041948c8e80879427707eab5ddf25a9f1424d15ad0fbec,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,100,42,430007,0,518baf6df86e1e9dc849075030976c705787acffdb40f2819f9d73e93d25692a,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,100,42,430007,0,8a3a2890a76a43fbc628ff967c9ff3c60541e398b1f77720a352c481000d02a2,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,500,42,430007,0,7bc423b49b352ec2aeca9f59f30de48fae81e53bb0fe729ed97879781df80c81,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,500,42,430007,0,19d405048e2309d3105e7358e6c9ddbba64fa4768f678df1aa0feed1d1bbc9ec,True,FINAL_SCORING_ONLY,LABELS_OPENED
