method,budget,source_seed,support_seed,accuracy,macro_f1,balanced_accuracy,worst_class_f1,prediction_sha256
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,45,530017,0.12761904761904763,0.12094765625434024,0.1276190476190476,0.008781558726673985,95dfa012ef0c58651158b4e2dcee4a1427e3c93bc44effdedb132a8aeeeee665
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,45,555029,0.14761904761904762,0.1655419288168684,0.1476190476190476,0.011191047162270184,f68d9d6ef9dfc2494d1a349a91bcddc81826a9dc173042a25d8b1f056665b52e
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,45,580031,0.12476190476190477,0.11705090376316596,0.12476190476190475,0.0,d386b6b79301ac04f1c32fc44ecbd78323d1c87c769b87bc1926c4b0ce851887
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,46,104729,0.13015873015873017,0.10657488005961167,0.13015873015873017,0.0,919218ff9455722220561891cfa27b39aa927ea86fb46fc606d1143e4fbfe0d9
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,46,130363,0.12603174603174602,0.11457490980985198,0.12603174603174602,0.0,b641d61510de1c45cdcfefc7d1954ebdb53c10fca72e63c05d5385477ca655ca
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,46,155921,0.18761904761904763,0.1952055433314523,0.18761904761904763,0.002699055330634278,717c824ada0b4d4659f4a947c54ccf932787870d8e5b37d860cdb628878175fb
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,46,181081,0.18412698412698414,0.1807888897879716,0.1841269841269841,0.0,344af50cc35166f108bdbb06547725721d5c94945007e009de82bf87a051bb43
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,46,205439,0.13714285714285715,0.13291426873871437,0.13714285714285715,0.0,17afdeecb035b4401209a6c5f59247383f70900abaab3b33f989a3eb2aa89be1
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,46,230003,0.19111111111111112,0.19263994859534045,0.1911111111111111,0.0,f0df4867fc2dcf992f439db94e94903545b4b6d22ee3bea1436170181b9c396e
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,46,254959,0.1546031746031746,0.1467777300326408,0.1546031746031746,0.007017543859649123,ca132e0bb02daa600a2569e10eecdd4639b2e2f992a553f0a303ea5cca7fc8ba
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,46,280001,0.18317460317460318,0.16263898493585155,0.18317460317460318,0.0,3f06bc4b4b09c89ea12ffe53808c7efd8fc89b4020da0cca3e82a6af3048393b
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,46,305093,0.12349206349206349,0.12584198432208443,0.12349206349206347,0.0,5a358afb41017e43f0c551c19a74ce356059eadaf3bdcc52dae00058c166c2e5
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,46,330017,0.12825396825396826,0.10851648825798321,0.12825396825396826,0.0,a82b6c7e8d4e15a65a23c7f2a9cd040f3ab5f30dad62e7df9d67ade6c9611fc7
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,46,355031,0.09746031746031746,0.0811815483260888,0.09746031746031746,0.0,2fb827905e0094eebffea882883b49e8e643b449b1c66565d87434f185daf29f
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,46,380041,0.133015873015873,0.11176065850283604,0.133015873015873,0.006030150753768844,1cd5fb5f139ae1199eef799bb02e64321d005abd37cf9de5a78665e1abcb27cb
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,46,405019,0.16857142857142857,0.15147518158318554,0.16857142857142857,0.010869565217391304,b085391dfb4eaa615543af6a3178e38c34cc7784f16345164a52f52776f5f498
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,46,430007,0.14222222222222222,0.13631057534812394,0.1422222222222222,0.0,84efa900b548df503460d57882d93bed45c7ecbcd58fd2e7fc39dacccb3117c2
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,46,455003,0.08190476190476191,0.0727142704024596,0.0819047619047619,0.0,31dc287177c1cc8ce95747bb8b0111ffba190a06206c1eddceab76c64df93ec8
