method,budget,class_index,ER,surface,rows_per_unit,mean_row_accuracy,unit_sd
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,2,1,1,50,0.4,0.4898979485566357
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,2,1,2,50,0.012,0.034985711369071804
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,2,2,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,2,2,1,50,0.8,0.4
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,2,2,2,50,0.0026,0.018254862365956092
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,3,0,0,50,0.0012,0.008400000000000001
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,3,0,1,50,0.321,0.32489228984388036
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,3,0,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,3,1,0,50,0.0528,0.03660819580367215
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,3,1,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,3,1,2,50,0.008,0.009797958971132713
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,3,2,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,3,2,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,3,2,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,4,0,0,50,0.2,0.4
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,4,0,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,4,0,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,4,1,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,4,1,1,50,0.0264,0.029783216750378056
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,4,1,2,50,0.196,0.392
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,4,2,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,4,2,1,50,0.764,0.3833327536227501
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,4,2,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,5,0,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,5,0,1,50,0.021,0.028618176042508367
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,5,0,2,50,0.392,0.48009998958550293
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,5,1,0,50,0.0518,0.029945951312322666
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,5,1,1,50,0.8,0.4
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,5,1,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,5,2,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,5,2,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,5,2,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,6,0,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,6,0,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,6,0,2,50,0.004,0.008
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,6,1,0,50,0.4,0.48989794855663565
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,6,1,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,6,1,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,6,2,0,50,0.8,0.39999999999999997
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,6,2,1,50,0.196,0.392
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,6,2,2,50,0.98,4.440892098500626e-16
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,0,0,0,50,0.0058,0.05770927135218395
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,0,0,1,50,0.0,0.0
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,0,0,2,50,0.0194,0.1358662577684393
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,0,1,0,50,0.0,0.0
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,0,1,1,50,0.0958,0.28828173719471034
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,0,1,2,50,0.0,0.0
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,0,2,0,50,0.0,0.0
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,0,2,1,50,0.2632,0.4220589532281005
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,0,2,2,50,0.395,0.45481754583569006
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,1,0,0,50,0.815,0.3821557274201186
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,1,0,1,50,0.0,0.0
