analysis_class,method,budget,source_seed,support_seed,outer_fold,support_coverage_score,unique_er_levels,unique_surfaces,block_accuracy,block_macro_f1
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,43,181081,0,0.16666666666666666,1,1,0.19047619047619047,0.13877551020408163
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,43,181081,0,0.6666666666666666,3,2,0.14285714285714285,0.09795918367346938
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,43,181081,0,0.6666666666666666,3,2,0.09523809523809523,0.07619047619047618
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,43,181081,0,0.775,3,3,0.19047619047619047,0.14557823129251699
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,43,181081,0,0.775,3,3,0.19047619047619047,0.10675039246467818
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,43,205439,0,0.16666666666666666,1,1,0.19047619047619047,0.1142857142857143
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,43,205439,0,0.16666666666666666,1,1,0.09523809523809523,0.06279434850863422
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,43,205439,0,0.5833333333333333,2,2,0.14285714285714285,0.12414965986394558
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,43,205439,0,0.5833333333333333,2,2,0.14285714285714285,0.13605442176870747
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,43,205439,0,0.775,3,3,0.14285714285714285,0.12414965986394558
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,43,205439,0,0.775,3,3,0.3333333333333333,0.29920634920634914
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,43,104729,1,0.16666666666666666,1,1,0.14285714285714285,0.09523809523809523
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,43,104729,1,0.16666666666666666,1,1,0.14285714285714285,0.10760667903525047
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,43,104729,1,0.6666666666666666,3,2,0.23809523809523808,0.15909090909090912
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,43,104729,1,0.6666666666666666,3,2,0.14285714285714285,0.11440940012368585
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,43,104729,1,0.75,3,3,0.047619047619047616,0.047619047619047616
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,43,104729,1,0.75,3,3,0.19047619047619047,0.13528138528138528
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,43,130363,1,0.16666666666666666,1,1,0.14285714285714285,0.11337868480725623
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,43,130363,1,0.16666666666666666,1,1,0.047619047619047616,0.01680672268907563
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,43,130363,1,0.75,3,2,0.09523809523809523,0.06938775510204082
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,43,130363,1,0.75,3,2,0.09523809523809523,0.10714285714285714
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,43,130363,1,0.75,3,3,0.14285714285714285,0.12063492063492064
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,43,130363,1,0.75,3,3,0.09523809523809523,0.07256235827664399
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,43,155921,1,0.16666666666666666,1,1,0.14285714285714285,0.09523809523809523
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,43,155921,1,0.16666666666666666,1,1,0.14285714285714285,0.10760667903525047
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,43,155921,1,0.6666666666666666,3,2,0.14285714285714285,0.09795918367346938
