support_selection_id,fold,support_seed,strategy,budget,selected_factor_cells,query_factor_cells,unique_er_levels,unique_surfaces,unique_factor_cells,er_count_imbalance,surface_count_imbalance,pairwise_factor_grid_dispersion,mean_pairwise_factor_grid_distance,minimum_query_to_support_factor_distance,mean_query_to_support_factor_distance,every_query_er_represented,every_query_surface_represented,support_coverage_score
run_95dae9a84ff6aa906272,1,181081,RANDOM_BLOCK,5,E0xS0;E1xS0;E1xS1;E2xS1;E2xS2,E0xS1;E1xS2;E2xS0,3,3,5,1,1,20,2.0,1,1.0,True,True,0.75
run_d16313371f36bb2e9dde,1,181081,JOINT_FACTOR_COVERAGE,5,E0xS0;E0xS2;E1xS0;E2xS1;E2xS2,E0xS1;E1xS2;E2xS0,3,3,5,1,1,24,2.4,1,1.0,True,True,0.8
run_bafb5646e49dfae5dca7,1,205439,RANDOM_BLOCK,1,E2xS1,E0xS1;E1xS2;E2xS0,1,1,1,1,1,0,0.0,1,1.6666666666666667,False,False,0.16666666666666666
run_17d74856d007c29ab664,1,205439,RANDOM_BLOCK,3,E0xS2;E1xS1;E2xS2,E0xS1;E1xS2;E2xS0,3,2,3,0,2,6,2.0,1,1.3333333333333333,True,False,0.6666666666666666
run_5744496dcba39c5c6447,1,205439,ER_BALANCED,3,E0xS0;E1xS0;E2xS2,E0xS1;E1xS2;E2xS0,3,2,3,0,2,8,2.6666666666666665,1,1.0,True,False,0.75
run_8ad007b092491866b4a4,1,205439,SURFACE_BALANCED,3,E1xS0;E2xS1;E2xS2,E0xS1;E1xS2;E2xS0,2,3,3,2,0,6,2.0,1,1.3333333333333333,False,True,0.6666666666666666
run_3482a91807c9ad3de890,1,205439,JOINT_FACTOR_COVERAGE,3,E0xS2;E1xS0;E2xS1,E0xS1;E1xS2;E2xS0,3,3,3,0,0,8,2.6666666666666665,1,1.0,True,True,0.8333333333333333
run_601d38f3383481af45d2,1,205439,RANDOM_BLOCK,5,E0xS0;E0xS2;E1xS0;E2xS1;E2xS2,E0xS1;E1xS2;E2xS0,3,3,5,1,1,24,2.4,1,1.0,True,True,0.8
run_4971be62efffba318571,1,205439,JOINT_FACTOR_COVERAGE,5,E0xS0;E0xS2;E1xS0;E2xS1;E2xS2,E0xS1;E1xS2;E2xS0,3,3,5,1,1,24,2.4,1,1.0,True,True,0.8
run_08c55e8208499f0ba307,2,104729,RANDOM_BLOCK,1,E1xS1,E0xS2;E1xS0;E2xS1,1,1,1,1,1,0,0.0,1,1.3333333333333333,False,False,0.16666666666666666
run_2a74898eb97289ad273f,2,104729,RANDOM_BLOCK,3,E0xS0;E0xS1;E1xS2,E0xS2;E1xS0;E2xS1,2,3,3,2,0,6,2.0,1,1.3333333333333333,False,True,0.6666666666666666
run_300c23dd7da41d696507,2,104729,ER_BALANCED,3,E0xS0;E1xS2;E2xS0,E0xS2;E1xS0;E2xS1,3,2,3,0,2,8,2.6666666666666665,1,1.0,True,False,0.75
run_cd8aed9ac56eda5d018f,2,104729,SURFACE_BALANCED,3,E0xS0;E0xS1;E2xS2,E0xS2;E1xS0;E2xS1,2,3,3,2,0,8,2.6666666666666665,1,1.0,False,True,0.75
run_4f188044ab658d2456e1,2,104729,JOINT_FACTOR_COVERAGE,3,E0xS0;E1xS1;E2xS2,E0xS2;E1xS0;E2xS1,3,3,3,0,0,8,2.6666666666666665,1,1.3333333333333333,True,True,0.8333333333333333
