run_id,method,budget,strategy,source_seed,support_seed,outer_fold,labelled_support_rows,query_rows,query_condition_blocks,block_accuracy,block_macro_f1,row_accuracy,row_macro_f1,mean_within_block_agreement,minimum_within_block_agreement,support_coverage_score,unique_er_levels,unique_surfaces,unique_factor_cells,interpretation_valid,prediction_sha256
run_18ba8c2a5d9197088472,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,46,130363,0,7,1050,21,0.14285714285714285,0.08571428571428572,0.14476190476190476,0.0902830892495609,0.9790476190476192,0.86,0.16666666666666666,1,1,1,True,8c9210181a8307c7834033de21c9c878628658db99018b51ded96ad3c2070c1b
run_c84bbbaf263fce7de82c,TARGET_ONLY_COSINE_PROTOTYPE,3,RANDOM_BLOCK,46,130363,0,21,1050,21,0.19047619047619047,0.16031746031746033,0.18571428571428572,0.1508131478289561,0.96,0.54,0.5,2,2,3,True,f9f9b5232cd0887e19b61d3d62e8b9799067bb5e858321b2dce3c0bc6cd9908e
run_09e8cdbcad8e9f016184,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,RANDOM_BLOCK,46,130363,0,21,1050,21,0.19047619047619047,0.17857142857142858,0.18857142857142858,0.171896816723294,0.9619047619047618,0.5,0.5,2,2,3,False,18798a17f744973ef314e37388f0534fa315126815e5a369989cb7674f76a7e8
run_85fd6f0da16d77df0993,TARGET_ONLY_COSINE_PROTOTYPE,3,ER_BALANCED,46,130363,0,21,1050,21,0.23809523809523808,0.20634920634920637,0.2361904761904762,0.20678727916485018,0.9885714285714287,0.88,0.8333333333333333,3,3,3,True,b79bc7f6f43342b2fdbd666ff57d0760af9d6770cfd0a2bb9882a1175bf93e85
run_92a3d01937ee2bf91934,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,46,130363,0,21,1050,21,0.2857142857142857,0.2571428571428572,0.27904761904761904,0.255209708370662,0.9638095238095239,0.5,0.8333333333333333,3,3,3,False,f984a59dbfa8d945a79f5e0401da85334014f02956b3213f14cf59f89cf39d30
run_a54449cc8e9f58af7073,TARGET_ONLY_COSINE_PROTOTYPE,3,SURFACE_BALANCED,46,130363,0,21,1050,21,0.047619047619047616,0.025974025974025976,0.047619047619047616,0.027147164225289684,0.9847619047619047,0.88,0.75,2,3,3,True,5b785c15fce677fa4ac88703e10c519e12921aecd8b8f76ea5bac185afbc7e41
run_6636a16d824477b09c13,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,SURFACE_BALANCED,46,130363,0,21,1050,21,0.23809523809523808,0.19990723562152132,0.2361904761904762,0.2005810091558409,0.9676190476190476,0.5,0.75,2,3,3,False,75dca6dbaae515a8d329ca66b8d4c054da69271c42dbee0b4466765a4f8ce836
run_0f867f53c1f24c593784,TARGET_ONLY_COSINE_PROTOTYPE,3,JOINT_FACTOR_COVERAGE,46,130363,0,21,1050,21,0.047619047619047616,0.028571428571428574,0.05047619047619047,0.03423092683967375,0.9895238095238096,0.86,0.8333333333333333,3,3,3,True,ea107c04ecee690aabb8e918af648426727c2d079c5c62ec6d99dd7415b28ce4
run_b0e93492e407dc4fb087,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,46,130363,0,21,1050,21,0.19047619047619047,0.17222222222222222,0.18476190476190477,0.169354872067919,0.9619047619047618,0.52,0.8333333333333333,3,3,3,False,1ab1e265762a8af2a15a5361fb1ebd868dcaaea5a8c7d537fc2180d0816015c4
run_70faf4e22ee4a8206523,TARGET_ONLY_COSINE_PROTOTYPE,5,RANDOM_BLOCK,46,130363,0,35,1050,21,0.047619047619047616,0.03571428571428571,0.04666666666666667,0.035443037974683546,0.9800000000000001,0.88,0.775,3,3,5,True,bcc0d3a1695b13f15ba663db13680e4fd8f84ac4817ea2f5f26a8204831fc042
