run_id,method,budget,strategy,source_seed,support_seed,outer_fold,status,query_label_access_sequence,premature_query_label_access,query_metric_computation_count,prediction_sha256
run_f400f4bdd7ef1d85ba06,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,JOINT_FACTOR_COVERAGE,42,130363,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,ccedc28df832f5648774afa3b169e58d4c6d44292cb441711a1a27b7fae9f81f
run_0e3f598c335d949ee64c,TARGET_ONLY_COSINE_PROTOTYPE,1,RANDOM_BLOCK,42,155921,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,8526efa8cacf532b1059087873930ad5b30679c2679caddb46840eff2bb3a3e2
run_295122d548ff94d2cf4a,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,155921,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,367ecf23cbb6f204a27ec7f6130df3a1d567095942b8e20c4d04c3d25801b538
run_f61091c0e38d10c895b0,TARGET_ONLY_COSINE_PROTOTYPE,3,RANDOM_BLOCK,42,155921,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,afdaaf2186422488be61444ad59ac28dd34a6e62864dfce45304a19d8df1c9ca
run_8edc83ec6f310f4dedfc,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,RANDOM_BLOCK,42,155921,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,a600d0c22ac5a57f6ad7c39b7f0e9a034abcde9e8f45ddd23f3972ad0025a842
run_edf1a0cffbc28f133be5,TARGET_ONLY_COSINE_PROTOTYPE,3,ER_BALANCED,42,155921,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,50e51c437ee74a6f4b7fd411db50908d418a9128b1a55e0eed721b63d5c8a0e6
run_8d40c8120c17c5635669,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,155921,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,d5a6dc9b5f55b63110b26409a4d9c8792d5dad98b5319bde3174a7fd9168a19c
run_662160b8735feffaacf4,TARGET_ONLY_COSINE_PROTOTYPE,3,SURFACE_BALANCED,42,155921,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,a66688e8dfa448d2eea23e900a0b915d8df5b272ab4c234be1f75c68be2bf4a3
run_04ed152af3a029b1c3cd,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,SURFACE_BALANCED,42,155921,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,0ef8e42affb857186bd80915d49ac7d9390a834c7a8349fc19c6acab1bdf644d
run_e7eb64799556e294b332,TARGET_ONLY_COSINE_PROTOTYPE,3,JOINT_FACTOR_COVERAGE,42,155921,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,96cb5064e2a85ac11c0d50a4eb0e53e23db06ab69c60dae842f4b8b5bd75a637
