budget,class_index,TagID,prototype_f1_mean,linear_f1_mean,linear_minus_prototype_f1,prototype_recall_mean,linear_recall_mean,prototype_precision_mean,linear_precision_mean,unit_count
35,2,3,0.10333725046485641,0.1818461318449802,0.07850888138012378,0.1176888888888889,0.1977333333333333,0.09936959032182187,0.17104958267461093,100
35,3,4,0.13825510935412635,0.055482251367635425,-0.08277285798649092,0.13577777777777778,0.05713333333333334,0.15070831430445844,0.05631552958816417,100
35,4,5,0.04132891185605501,0.16324748999455935,0.12191857813850435,0.03793333333333333,0.13246666666666668,0.04775273988380741,0.22953177802198854,100
35,5,6,0.2420577926251842,0.12132887760069526,-0.12072891502448894,0.3152666666666667,0.12544444444444447,0.20062547321383983,0.12013895104344446,100
35,6,7,0.18305936590684105,0.24442201960589233,0.06136265369905128,0.1835111111111111,0.2712444444444445,0.1934219544123141,0.22437248554567796,100
50,0,1,0.02839549676946127,0.0694864585666471,0.041090961797185833,0.030888888888888886,0.07251111111111111,0.02768616778611084,0.06750594098702979,100
50,1,2,0.10412422632955814,0.16573114779186432,0.061606921462306174,0.09484444444444444,0.1542444444444445,0.13162501630578466,0.20164100287991651,100
50,2,3,0.10876191856078332,0.18286407739212193,0.07410215883133861,0.1213111111111111,0.1996666666666667,0.10531285225109549,0.17147471542189568,100
50,3,4,0.11360413799541746,0.04934410792756513,-0.06426003006785233,0.10993333333333333,0.05137777777777778,0.13047484998227799,0.04916511155267291,100
50,4,5,0.025993789798307024,0.1608843892404013,0.13489059944209428,0.023088888888888888,0.13057777777777776,0.03189474349235735,0.23170391863826967,100
50,5,6,0.2585620428079482,0.110153508186939,-0.1484085346210092,0.34384444444444445,0.1157777777777778,0.21147326781719492,0.10748257554335745,100
50,6,7,0.16337627114552486,0.24470585231618158,0.08132958117065672,0.1617333333333333,0.2739333333333334,0.17659623070490227,0.2227955174158291,100
100,0,1,0.020120010084101712,0.08698241861262312,0.0668624085285214,0.022533333333333336,0.0916,0.019204281476782797,0.08369534674842573,100
100,1,2,0.10559825651189289,0.16629320018995558,0.06069494367806269,0.09266666666666666,0.15164444444444447,0.14066731277866482,0.2042697275794423,100
100,2,3,0.08905090496051163,0.1811863344791955,0.09213542951868386,0.09831111111111111,0.19475555555555563,0.08653074090826136,0.17199040447215946,100
100,3,4,0.11242794007622792,0.049641167898151185,-0.06278677217807674,0.11068888888888889,0.050088888888888884,0.12681402730448676,0.050397612098937616,100
100,4,5,0.014621892301551906,0.16684028283856045,0.15221839053700853,0.012466666666666666,0.13402222222222224,0.01858954717368727,0.24490387679697215,100
100,5,6,0.2532151338721968,0.11899221177373835,-0.13422292209845843,0.3528222222222223,0.1289111111111111,0.20150405439460978,0.11256243619423378,100
100,6,7,0.1746081230336132,0.23990083034616494,0.06529270731255174,0.17468888888888884,0.26771111111111123,0.19285421428161129,0.21853736543184474,100
200,0,1,0.006958749090783882,0.07835959150157049,0.0714008424107866,0.006533333333333333,0.08142222222222222,0.008581873921025693,0.0758919192306356,100
200,1,2,0.09555273510786291,0.16493658579228931,0.0693838506844264,0.08515555555555554,0.14995555555555556,0.11975259443895842,0.20678441302640316,100
200,2,3,0.08836894221779172,0.17780112071180554,0.08943217849401382,0.0959111111111111,0.18971111111111116,0.08842497217866412,0.16932152224172958,100
200,3,4,0.1097972506820027,0.042250130795355334,-0.06754711988664737,0.10351111111111111,0.04148888888888889,0.13315277557756502,0.043514998630677405,100
200,4,5,0.010140966975672632,0.16538803876532399,0.15524707178965136,0.00908888888888889,0.1325777777777778,0.011785803709490308,0.2456336927285831,100
200,5,6,0.269612277202298,0.12270824414899031,-0.1469040330533077,0.37913333333333343,0.13657777777777777,0.21302511171871785,0.1128810142162878,100
200,6,7,0.17415479106457168,0.2375560827469051,0.06340129168233341,0.17662222222222215,0.2644444444444446,0.182759766891245,0.21662990303651186,100
500,0,1,0.00016179435225439855,0.08148076607368454,0.08131897172143014,0.0002,0.08282222222222224,0.00013584869553694208,0.08034581668559618,100
500,1,2,0.0852149121573279,0.1658458021034515,0.08063088994612361,0.07302222222222224,0.14982222222222222,0.11348820170573073,0.21285018776276743,100
500,2,3,0.08152180185740109,0.179254180654735,0.09773237879733392,0.08966666666666664,0.19180000000000008,0.08021705286821418,0.16994768182442319,100
500,3,4,0.1099854001716,0.04353434495703894,-0.06645105521456106,0.09939999999999999,0.04255555555555556,0.14035681469463046,0.04476824133398301,100
500,4,5,0.005995071721919553,0.1663423332986613,0.16034726157674176,0.0054,0.13182222222222226,0.006802770752745257,0.25201755273466037,100
500,5,6,0.27346300344278673,0.125383054088453,-0.14807994935433375,0.3926000000000001,0.14053333333333332,0.2136400260418165,0.114648505605479,100
500,6,7,0.16008829883138806,0.2373427570708334,0.07725445823944535,0.1626444444444444,0.2644444444444446,0.16851026177983758,0.2162974407939926,100
