budget,method,true_class,predicted_class,mean_count_per_unit,row_normalized,unit_count
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,3,0,89.94,0.1998666666666667,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,3,1,98.25,0.21833333333333335,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,3,2,73.95,0.16433333333333336,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,3,3,25.71,0.05713333333333334,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,3,4,28.88,0.06417777777777778,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,3,5,30.64,0.0680888888888889,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,3,6,102.63,0.2280666666666667,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,4,0,48.87,0.10859999999999999,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,4,1,45.07,0.10015555555555555,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,4,2,66.59,0.1479777777777778,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,4,3,98.11,0.21802222222222223,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,4,4,59.61,0.13246666666666668,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,4,5,71.64,0.1592,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,4,6,60.11,0.13357777777777777,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,5,0,82.97,0.18437777777777778,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,5,1,63.85,0.1418888888888889,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,5,2,10.61,0.023577777777777777,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,5,3,123.32,0.2740444444444444,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,5,4,89.81,0.19957777777777777,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,5,5,56.45,0.12544444444444444,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,5,6,22.99,0.051088888888888885,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,6,0,113.21,0.2515777777777778,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,6,1,40.02,0.08893333333333334,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,6,2,49.25,0.10944444444444444,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,6,3,59.52,0.13226666666666667,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,6,4,10.5,0.023333333333333334,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,6,5,55.44,0.12319999999999999,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,6,6,122.06,0.27124444444444445,100
100,TARGET_ONLY_COSINE_PROTOTYPE,0,0,10.14,0.022533333333333336,100
100,TARGET_ONLY_COSINE_PROTOTYPE,0,1,69.59,0.15464444444444445,100
100,TARGET_ONLY_COSINE_PROTOTYPE,0,2,110.58,0.24573333333333333,100
100,TARGET_ONLY_COSINE_PROTOTYPE,0,3,21.36,0.047466666666666664,100
100,TARGET_ONLY_COSINE_PROTOTYPE,0,4,93.96,0.20879999999999999,100
100,TARGET_ONLY_COSINE_PROTOTYPE,0,5,44.61,0.09913333333333334,100
100,TARGET_ONLY_COSINE_PROTOTYPE,0,6,99.76,0.2216888888888889,100
100,TARGET_ONLY_COSINE_PROTOTYPE,1,0,37.21,0.0826888888888889,100
100,TARGET_ONLY_COSINE_PROTOTYPE,1,1,41.7,0.09266666666666667,100
100,TARGET_ONLY_COSINE_PROTOTYPE,1,2,117.07,0.26015555555555553,100
100,TARGET_ONLY_COSINE_PROTOTYPE,1,3,29.75,0.0661111111111111,100
100,TARGET_ONLY_COSINE_PROTOTYPE,1,4,45.18,0.1004,100
100,TARGET_ONLY_COSINE_PROTOTYPE,1,5,149.21,0.3315777777777778,100
100,TARGET_ONLY_COSINE_PROTOTYPE,1,6,29.88,0.0664,100
100,TARGET_ONLY_COSINE_PROTOTYPE,2,0,70.74,0.1572,100
100,TARGET_ONLY_COSINE_PROTOTYPE,2,1,71.59,0.15908888888888892,100
100,TARGET_ONLY_COSINE_PROTOTYPE,2,2,44.24,0.09831111111111113,100
100,TARGET_ONLY_COSINE_PROTOTYPE,2,3,70.07,0.1557111111111111,100
100,TARGET_ONLY_COSINE_PROTOTYPE,2,4,45.33,0.10073333333333334,100
100,TARGET_ONLY_COSINE_PROTOTYPE,2,5,112.89,0.2508666666666667,100
100,TARGET_ONLY_COSINE_PROTOTYPE,2,6,35.14,0.0780888888888889,100
100,TARGET_ONLY_COSINE_PROTOTYPE,3,0,22.42,0.04982222222222222,100
100,TARGET_ONLY_COSINE_PROTOTYPE,3,1,29.48,0.0655111111111111,100
100,TARGET_ONLY_COSINE_PROTOTYPE,3,2,106.06,0.23568888888888886,100
100,TARGET_ONLY_COSINE_PROTOTYPE,3,3,49.81,0.11068888888888888,100
100,TARGET_ONLY_COSINE_PROTOTYPE,3,4,97.34,0.2163111111111111,100
100,TARGET_ONLY_COSINE_PROTOTYPE,3,5,96.1,0.21355555555555553,100
100,TARGET_ONLY_COSINE_PROTOTYPE,3,6,48.79,0.10842222222222221,100
