budget,block_index,TagID,ER,surface,rows_per_unit,prototype_accuracy_mean,linear_accuracy_mean,linear_minus_prototype_accuracy,linear_accuracy_sd
500,8,1,2,2,50,0.0,0.36940000000000006,0.36940000000000006,0.44900298080043605
500,9,2,0,0,50,0.39599999999999996,0.7924000000000003,0.39640000000000036,0.3982971836011981
500,10,2,0,1,50,0.0,0.0,0.0,0.0
500,11,2,0,2,50,0.0,0.26,0.26,0.3420673924975911
500,12,2,1,0,50,0.0,0.2,0.2,0.4020151261036849
500,13,2,1,1,50,0.031799999999999995,0.0,-0.031799999999999995,0.0
500,14,2,1,2,50,0.004,0.0,-0.004,0.0
500,15,2,2,0,50,0.0,0.0,0.0,0.0
500,16,2,2,1,50,0.2254,0.0,-0.2254,0.0
500,17,2,2,2,50,0.0,0.09600000000000002,0.09600000000000002,0.19296726052976873
500,18,3,0,0,50,0.12059999999999998,0.0,-0.12059999999999998,0.0
500,19,3,0,1,50,0.0,0.0,0.0,0.0
500,20,3,0,2,50,0.0,0.1116,0.1116,0.18858709104573124
500,21,3,1,0,50,0.0,0.4,0.4,0.49236596391733095
500,22,3,1,1,50,0.035,0.4,0.365,0.492365963917331
500,23,3,1,2,50,0.024,0.012000000000000002,-0.011999999999999999,0.035161962919661297
500,24,3,2,0,50,0.0,0.0,0.0,0.0
500,25,3,2,1,50,0.0,0.8,0.8,0.4020151261036849
500,26,3,2,2,50,0.6274,0.0026,-0.6247999999999999,0.018346826990138124
500,27,4,0,0,50,0.18799999999999997,0.0012,-0.18679999999999997,0.008442317648177383
500,28,4,0,1,50,0.3575999999999999,0.32099999999999995,-0.036599999999999966,0.32652903717925624
500,29,4,0,2,50,0.16219999999999998,0.0,-0.16219999999999998,0.0
500,30,4,1,0,50,0.0,0.0528,0.0528,0.03679262113110412
500,31,4,1,1,50,0.0168,0.0,-0.0168,0.0
500,32,4,1,2,50,0.004,0.008,0.004,0.009847319278346619
500,33,4,2,0,50,0.009399999999999999,0.0,-0.009399999999999999,0.0
500,34,4,2,1,50,0.1566,0.0,-0.1566,0.0
500,35,4,2,2,50,0.0,0.0,0.0,0.0
500,36,5,0,0,50,0.0,0.2,0.2,0.4020151261036849
500,37,5,0,1,50,0.0,0.0,0.0,0.0
500,38,5,0,2,50,0.0,0.0,0.0,0.0
500,39,5,1,0,50,0.0,0.0,0.0,0.0
500,40,5,1,1,50,0.0,0.026399999999999996,0.026399999999999996,0.02993325909419153
500,41,5,1,2,50,0.048600000000000004,0.196,0.1474,0.3939748235816112
500,42,5,2,0,50,0.0,0.0,0.0,0.0
500,43,5,2,1,50,0.0,0.7640000000000002,0.7640000000000002,0.3852639132183066
500,44,5,2,2,50,0.0,0.0,0.0,0.0
500,45,6,0,0,50,0.7718,0.0,-0.7718,0.0
500,46,6,0,1,50,0.18799999999999997,0.020999999999999998,-0.16699999999999998,0.028762349126466132
500,47,6,0,2,50,0.3925999999999999,0.3919999999999999,-0.0005999999999999894,0.4825186446389843
500,48,6,1,0,50,0.39520000000000005,0.051799999999999985,-0.34340000000000004,0.03009681348279551
500,49,6,1,1,50,0.0,0.8,0.8,0.40201512610368484
500,50,6,1,2,50,0.4,0.0,-0.4,0.0
500,51,6,2,0,50,0.9597999999999999,0.0,-0.9597999999999999,0.0
500,52,6,2,1,50,0.42599999999999993,0.0,-0.42599999999999993,0.0
