budget,source_seed,support_seed,fold,support_rows,class_count_min,class_count_max,regularization_lambda,initial_support_cross_entropy,support_cross_entropy,proximal_penalty,initial_objective,final_objective,objective_reduction,gradient_inf_norm,optimizer_iterations,optimizer_function_evaluations,closure_evaluations,support_accuracy,support_macro_f1,support_worst_class_f1,weight_displacement_frobenius,bias_displacement_l2,anchor_head_sha256,adapted_head_sha256,optimizer_completed_finite
7,42,230003,0,7,1,1,100.0,2.6047485784627322,0.8682963998205073,0.43426031305882057,2.6047485784627322,1.3025567128793278,1.3021918655834044,2.5001090787381275e-07,41,46,46,1.0,1.0,1.0,2.7939427650291875,0.07891044081261869,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,2cece2189a5f1a556c8df3a60c1d201c21bc7aba8d1a7c26c4d6d4fddbdc2d44,True
10,42,230003,0,10,1,2,100.0,2.2962637124947767,0.9780331235924893,0.36736203126417016,2.2962637124947767,1.3453951548566594,0.9508685576381173,2.072930069662443e-07,42,50,50,0.9,0.8285714285714285,0.0,2.5700368020086906,0.061268089274614516,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,82e1cabafdfc2e42efc34f0dfb47ca185152ceef4791da74f8daeb536bbd0d20,True
20,42,230003,0,20,2,3,100.0,2.5907572732186566,1.5568493334863283,0.28575355234759536,2.5907572732186566,1.8426028858339236,0.7481543873847329,1.4932236231529616e-07,43,49,49,0.35,0.308843537414966,0.0,2.2665826261466235,0.05752917158727074,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,915602f0cf3e28cffa43599b84c4905c44941cfb1b7668617eb8e3f79c631a30,True
21,42,230003,0,21,3,3,100.0,2.620511764689649,1.578705355201395,0.28111627815321283,2.620511764689649,1.8598216333546078,0.7606901313350412,3.1803168598024817e-07,40,50,50,0.3333333333333333,0.308843537414966,0.0,2.248124280050338,0.056736808373829085,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,52b0ae9f8e410e61058e6f43c22cae7edef2752d54da2a50163717f78889b708,True
35,42,230003,0,35,5,5,100.0,3.013347734390291,1.9543143680177824,0.291394179434116,3.013347734390291,2.2457085474518985,0.7676391869383923,2.0709200744539746e-07,51,64,64,0.22857142857142856,0.22395382395382393,0.0,2.289227593438036,0.04022826694807681,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,e26083e65b4b8fe36fcdf61b40f035d670fa74df3bfcde8295cc472621ac6fe4,True
50,42,230003,0,50,7,8,100.0,2.877175852508364,1.883389208403359,0.25716930256760595,2.877175852508364,2.140558510970965,0.7366173415373991,3.8758518737525005e-07,42,50,50,0.34,0.3231510552939124,0.0,2.1505172797602303,0.04184713423750511,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,e478f459094aab2b86cd3b93182dec22431064add61b1de4be302dff351a1985,True
100,42,230003,0,100,14,15,100.0,2.8309382874925704,1.916529497565188,0.2397330260170393,2.8309382874925704,2.1562625235822273,0.6746757639103431,1.5133902231921625e-07,43,52,52,0.25,0.24504211716034371,0.0,2.076332542307457,0.040500762975411435,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,649ffde6ad66e9258b50119837d79f69e185ecf814bb40c6cf151b3066b1141d,True
200,42,230003,0,200,28,29,100.0,2.9352494400729103,1.9621290465994081,0.2580288869390588,2.9352494400729103,2.220157933538467,0.7150915065344434,1.5160264325853046e-07,42,51,51,0.19,0.18596226668007104,0.0,2.1541622539756777,0.03904688950602412,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,b195de7f83ec1273d4b56b0141fa4c35b85090a3b54bb2f95c8b473c51daceff,True
500,42,230003,0,500,71,72,100.0,2.9362700296731825,1.9532150941522461,0.260259452166944,2.9362700296731825,2.21347454631919,0.7227954833539925,3.0035794671562366e-07,44,58,58,0.24,0.23914842894808994,0.0,2.1634168821104485,0.04116963301789386,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,ac3a594998982b8eba3028421f9bf09607055089a933e7271048780346bbad6a,True
7,42,254959,0,7,1,1,100.0,2.55407632503248,0.860824547857664,0.4335056233759486,2.55407632503248,1.2943301712336126,1.2597461537988672,2.6636099793864165e-07,42,49,49,1.0,1.0,1.0,2.791977057513664,0.06025176222031615,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,19c8e33f2d210f05b6a4c918760e860d672e6265667dd95aa74bf66c2d025345,True
