budget,budget_label,claim_type,method,source_seed,support_seed,query_rows,query_condition_blocks,accuracy,macro_f1,balanced_accuracy,worst_class_f1,block_majority_accuracy,block_majority_macro_f1,prediction_sha256
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,43,405019,3150,63,0.1111111111111111,0.09137546003086452,0.11111111111111109,0.0,0.1111111111111111,0.09121830550401978,85c27adf62b2cd8b67ff959a32ea6809321ec4062e4e4d68ec14d1672c43ad4c
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,43,430007,3150,63,0.1819047619047619,0.15766031949017342,0.18190476190476193,0.01410105757931845,0.19047619047619047,0.16444270015698587,3dd7642c60e371e52351c2e9871d1b5e87a0db549d092be122a70f148eb25b4b
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,43,455003,3150,63,0.1746031746031746,0.16527211791583943,0.1746031746031746,0.0,0.1746031746031746,0.16613756613756614,e3c5dbca331f30c32039fa0d30bb26992345b754493a62fc2957e1b9b97b5e74
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,43,480017,3150,63,0.1219047619047619,0.10704213990911526,0.12190476190476192,0.0,0.12698412698412698,0.11070222139198929,c4cb7f67b1f011f11e48bcd384e4143cedb3f52685c2b180e7857320c2a0ad26
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,43,505027,3150,63,0.11142857142857143,0.11342248348111963,0.11142857142857143,0.0026109660574412533,0.1111111111111111,0.1131219154328398,9ed66544fbc96d48ad0b7bcf027eb6523028652d292a5f40f43fab5ac176ab83
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,43,530017,3150,63,0.12476190476190477,0.12100545964927613,0.12476190476190475,0.0,0.12698412698412698,0.1261376129399128,cfafa690c301e733d276652d05b452309b8d608573b4501bfb53cb8a2e5ebe6c
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,43,555029,3150,63,0.09714285714285714,0.09545389650893603,0.09714285714285713,0.0,0.09523809523809523,0.0940848498056736,53aca9a23fe5e88f22568f3917203edc032cc6da29e371179e3370e180b45a83
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,43,580031,3150,63,0.1580952380952381,0.14698822763498054,0.15809523809523807,0.0,0.15873015873015872,0.14742527313955886,88b542195c26a2b9c852349ff3b43ae35a818cf22591e0dbd4ae4abbbf228fb5
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,44,104729,3150,63,0.18603174603174602,0.1799003153003637,0.18603174603174602,0.007722007722007722,0.19047619047619047,0.18459899749373432,18f64988a8f75fb10bc6cb6de6b4aaedd9f9075c26aaad665b198a21d2a397a2
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,44,130363,3150,63,0.2126984126984127,0.19332237294943644,0.2126984126984127,0.022653721682847898,0.2222222222222222,0.2019083422842821,a14e299860190b7434d2690ea3250083a4d656daed4a6abbd693264a52b6acec
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,44,155921,3150,63,0.1307936507936508,0.10649173644150196,0.1307936507936508,0.0,0.12698412698412698,0.10229476405946994,374506582db3157bfd8ecd6ca2cbc2ff4f3afa7dc1d2e5e0e96875f0b0f5ce96
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,44,181081,3150,63,0.1895238095238095,0.178876583027778,0.1895238095238095,0.0,0.19047619047619047,0.17925315425315422,c8307ff7234481067101108ec67503a80c2f808f069f66430f95270738efcce2
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,44,205439,3150,63,0.10984126984126984,0.1090276741595987,0.10984126984126984,0.0,0.1111111111111111,0.11105424625990747,6c39b0119ba629812d59c90ccb40c40eb9ed207b1d0ab48db7ffd2748f82068f
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,44,230003,3150,63,0.16412698412698412,0.15590363245444644,0.16412698412698412,0.0,0.15873015873015872,0.15073742047426258,b6ce864e076c28166548958ec7caba2db8723a9b69e6b791e069428d898b0c69
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,44,254959,3150,63,0.1346031746031746,0.12868402980658478,0.13460317460317459,0.0,0.14285714285714285,0.13380736910148675,752f72755b0dcfbababa07aa5fc202b993827528bd31206f697873e4292a6f4a
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,44,280001,3150,63,0.1419047619047619,0.12640520590877627,0.14190476190476192,0.0,0.14285714285714285,0.12706718843143663,57a8608f638859ce2ffdf954588a4685b3931506a878785fe4ddd2d86d2c2e26
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,44,305093,3150,63,0.18158730158730158,0.18088176681502185,0.18158730158730158,0.12133468149646107,0.19047619047619047,0.18879755950963384,65e6c3996c625b59ef99b9df851d3be8ea532be95cacff88e877e2a82297f9fc
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,44,330017,3150,63,0.09333333333333334,0.0799653325914761,0.09333333333333334,0.0,0.09523809523809523,0.08377465402637027,5c08c72d9eb918043776124b947f49af8f65b9f261ec15c8bbd81cd2057892be
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,44,355031,3150,63,0.14317460317460318,0.1342908282938517,0.1431746031746032,0.0033333333333333335,0.14285714285714285,0.13177641072377913,545bdcd2ec954d2242314dd2e9f7d1965e1c6915cf8b6a3f8f871a7ac2a187ff
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,44,380041,3150,63,0.133015873015873,0.13414168601110302,0.13301587301587303,0.0062959076600209865,0.14285714285714285,0.14300035803795202,56d36a8e42066a7ac63199c15dd378ca76ee1ccf9cc9c7924edc9dfbc0ab76dd
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,44,405019,3150,63,0.16158730158730158,0.13840656154659248,0.16158730158730158,0.0,0.15873015873015872,0.13504401760704282,9cef6a6aa4942856e87f2527f6cf66492168147597cc86fbcc1a8251e2a90df0
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,44,430007,3150,63,0.2073015873015873,0.18458789181385277,0.2073015873015873,0.0,0.20634920634920634,0.18515151515151515,5ed1f6abb39a595954728621d8c69ccb597bc35059209c320bb266955bcf9ce5
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,44,455003,3150,63,0.12,0.1097776753623098,0.12,0.0,0.1111111111111111,0.09847454133168419,84f86f5e3b4e5dff526e1e683d2a4f40150a979d0d30fbf97b46e72e0aa5c939
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,44,480017,3150,63,0.11333333333333333,0.094272591130384,0.11333333333333331,0.0,0.1111111111111111,0.0921475039122098,ff80bea3a5240dc6005da03bf54b8ea1b0591251a7add6c583fe590206d5c457
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,44,505027,3150,63,0.10920634920634921,0.10876531858181404,0.10920634920634921,0.0,0.1111111111111111,0.1135810967743741,2492ece13f185b8d571ec206e6ee4f624d355a176405b7ca9433d604fe4302c8
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,44,530017,3150,63,0.17365079365079364,0.14177203671971247,0.17365079365079364,0.0,0.1746031746031746,0.143015873015873,cf9ab3c1958c74e7afc35a7805645f7cf0665d0d4ef369664ca243420a3b6edc
