budget,true_class,predicted_class,mean_count_per_unit,row_normalized,unit_count
35,0,5,42.05,0.09344444444444444,100
35,0,6,96.42,0.21426666666666666,100
35,1,0,41.29,0.09175555555555556,100
35,1,1,44.01,0.09780000000000001,100
35,1,2,103.86,0.23080000000000003,100
35,1,3,36.67,0.0814888888888889,100
35,1,4,36.82,0.08182222222222223,100
35,1,5,145.03,0.32228888888888896,100
35,1,6,42.32,0.09404444444444446,100
35,2,0,65.41,0.14535555555555554,100
35,2,1,65.93,0.14651111111111112,100
35,2,2,52.96,0.11768888888888888,100
35,2,3,74.26,0.16502222222222224,100
35,2,4,59.61,0.13246666666666668,100
35,2,5,92.95,0.20655555555555558,100
35,2,6,38.88,0.0864,100
35,3,0,35.11,0.07802222222222223,100
35,3,1,39.55,0.08788888888888889,100
35,3,2,88.8,0.19733333333333336,100
35,3,3,61.1,0.1357777777777778,100
35,3,4,90.96,0.20213333333333333,100
35,3,5,77.21,0.17157777777777777,100
35,3,6,57.27,0.1272666666666667,100
35,4,0,66.5,0.14777777777777779,100
35,4,1,42.89,0.09531111111111111,100
35,4,2,47.18,0.10484444444444445,100
35,4,3,108.94,0.24208888888888888,100
35,4,4,17.07,0.03793333333333333,100
35,4,5,124.82,0.2773777777777778,100
35,4,6,42.6,0.09466666666666668,100
35,5,0,61.85,0.13744444444444445,100
35,5,1,79.92,0.1776,100
35,5,2,28.99,0.06442222222222221,100
35,5,3,55.98,0.1244,100
35,5,4,30.56,0.0679111111111111,100
35,5,5,141.87,0.3152666666666667,100
35,5,6,50.83,0.11295555555555555,100
35,6,0,95.85,0.21299999999999997,100
35,6,1,44.34,0.09853333333333333,100
35,6,2,50.86,0.1130222222222222,100
35,6,3,59.42,0.13204444444444444,100
35,6,4,25.92,0.0576,100
35,6,5,91.03,0.20228888888888888,100
35,6,6,82.58,0.1835111111111111,100
50,0,0,13.9,0.03088888888888889,100
50,0,1,67.35,0.14966666666666664,100
50,0,2,108.42,0.24093333333333333,100
50,0,3,20.25,0.045,100
50,0,4,99.86,0.22191111111111111,100
50,0,5,41.7,0.09266666666666667,100
50,0,6,98.52,0.2189333333333333,100
50,1,0,39.41,0.08757777777777778,100
50,1,1,42.68,0.09484444444444445,100
50,1,2,112.5,0.25000000000000006,100
50,1,3,39.92,0.08871111111111113,100
50,1,4,39.66,0.08813333333333334,100
50,1,5,146.95,0.3265555555555556,100
50,1,6,28.88,0.06417777777777778,100
50,2,0,68.16,0.15146666666666667,100
50,2,1,75.12,0.16693333333333338,100
50,2,2,54.59,0.12131111111111113,100
50,2,3,74.78,0.1661777777777778,100
50,2,4,43.25,0.09611111111111112,100
50,2,5,90.28,0.20062222222222226,100
50,2,6,43.82,0.09737777777777779,100
50,3,0,29.57,0.06571111111111111,100
50,3,1,34.53,0.07673333333333332,100
50,3,2,103.04,0.22897777777777775,100
50,3,3,49.47,0.10993333333333331,100
50,3,4,95.87,0.21304444444444443,100
50,3,5,85.23,0.18939999999999999,100
50,3,6,52.29,0.11619999999999998,100
50,4,0,74.79,0.16620000000000001,100
