budget,source_seed,support_seed,fold,prediction_sha256,access_sequence,passed
10,42,230003,0,bef1754f00fa96c24ba30e5550008779f24dbab7400fb87f8781f5a132d644f2,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
20,42,230003,0,7977b96aae82001760ec5e6dd5437c257509b68b1fd04ae2b34c1b56a10995c8,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
21,42,230003,0,8dfc836884d1af66fc2d22283eb8988fefbaeed82af5cbd72382ef5d474a909f,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
35,42,230003,0,8f1ea0d8e49e7eb3048ffb0268d72051da9ba32d7ffe9b8db7313f5c8b6cef88,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
50,42,230003,0,3accad69267b7d940dd35a9c265e2b03e25858f82baefa2c0e170af86614e915,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
100,42,230003,0,c352719a518ac618c560b06493197454b786580d1f2bdd6e95b670d89b3c2ca2,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
200,42,230003,0,671c8c15b42419e38904c631a03878461fd4d83174083c305139e6d3682a9f8c,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
500,42,230003,0,28b404f6d3633e7ff17b2469dbabbb0daeec55bd6973b0b18da850945151c941,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
7,42,254959,0,f1cfbc925d0085a80e718bc794e96a2b77d1b8509fe2b12076a03f8dfec36e89,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
10,42,254959,0,a08bf5c24a785badfc81f0a2094b4eb17a1a0b411be81256309a268656a7b4a1,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
20,42,254959,0,3e5982ef2b1b470149cf0970256a7a455719e0826ad92ff4d857ae4b9f50b234,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
21,42,254959,0,beb27cb4dff3c6c6f978fccd9fd115e69a7212f43b1c5b1ba939724b7e5bbcd2,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
35,42,254959,0,4b448721a0876cbef5e98ca40e53804c51f1fcea0303ce489f3518ec04210642,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
50,42,254959,0,daa5c82e36dd45913cecadbc788431ff701806f6e0fdc1dff0b4d33f79945e35,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
100,42,254959,0,66438059d7cf67fd41677be808d9c0aaa8a84abe9098bb4bbedcd562736afd0b,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
200,42,254959,0,d988e64f547f7833f786f4e15df756b1ec5708de105b4465a622566037937547,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
500,42,254959,0,dee66fe2747410653b9f2ccc1644caaee50b9562b1f8e35a3203d5aa0e5459b9,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
7,42,280001,0,a6e9cf07705167afcc8436671ec8a0c7d02095275b5e5887571899dc3873d5ff,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
10,42,280001,0,f912130eaafa889d3ab88987107fe84f025523dcfd1799982a7d7d617504614e,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
20,42,280001,0,9b45b05c833c6ba94eb6aa9861b0c89bd5a0741a3ebde92ece3f56e24a341b1a,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
21,42,280001,0,509da24228d983f6f2698066f6d5628b1a3eb834336c9c06f3b46c10f17c67b0,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
35,42,280001,0,4ccd3eee9a8b27071d8c9882aff1f1896d5496a0ea7f59651e57514f9d45c04d,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
50,42,280001,0,b09ca23d234b8d1bbb3ee06ee8ba12547d2bb8dcf239232f88a983fabbbc35be,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
100,42,280001,0,4f3e48bd4cf79e8f3f428c83d9c3488f181639e0413b14de84b4d1973c089c2b,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
200,42,280001,0,ec9cb7ca1819c859d17328313c4819fa9f0ea70df1fce63b98745a9fbddea60e,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
500,42,280001,0,ec0fe681de68f57ce669218df83956c7c3f7de50b18abd142598ed706474ea8f,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
7,42,305093,0,2888445155ac74c23b4d1ed3c77230675a159ff3b6c948a1e2a4243aa7ee7b75,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
10,42,305093,0,1ffaeb3a46e9e0868fbed7afdf102f7038bbb8fcfca9983d32da8a5d30db295d,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
20,42,305093,0,f71e9ad1261cd62ac8da4d7c0d3f46163245e1558b81fa765b7e2b34cb97f977,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
21,42,305093,0,f71e9ad1261cd62ac8da4d7c0d3f46163245e1558b81fa765b7e2b34cb97f977,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
35,42,305093,0,1c3609f37adc9315ae0c192d32a2c0e65d02a9cc91d8198b69e085e3e7896e11,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
50,42,305093,0,74783d54fa1f7904aef040e613c47738265f01f616b0ad843e4743148a597e89,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
100,42,305093,0,1d8da40346e0d9cc1e174cec6c744925f51b008d9964313b5204314f0223fcb5,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
200,42,305093,0,86ff4e03f0297032dd873be549f3b309c6ad73f35be05d1976d78b8c4a54261e,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
500,42,305093,0,8d82ed38c31cf5e9d82547a0f84c00c451d9c20ec791f6df503ed47e09117bc5,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
7,42,330017,0,2622bb75f2662c572bcefd48fe45c0f46a1d694852e2737637b6ce1d86764645,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
10,42,330017,0,6e58deab21dfeb533058f19afa9307ae4e3ee108a8d74b1437c5080a825e7954,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
20,42,330017,0,1509e56925ca0d006f078bb60de8457d817d98a069ad0a0ee27bd3ca4572fab6,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
21,42,330017,0,b6a117456afe1a8b73d69b336a21af303b3353ba4d8350f3a6bca98ee08f2976,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
35,42,330017,0,becf404726939a40028d219ef224251be4b288b22522258255f2d1e2d4725c1a,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
50,42,330017,0,e4b03f790137651a73bb145646001c9cf02838e6f816a4257a6b56cea59d5344,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
100,42,330017,0,f625b321cac621c935d98e1f15400e27f1da6403f8d9122d2d170ea899bddd02,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
200,42,330017,0,0f3a2853abb308e93305deeaf23b04bf51fd6d6fe9fccffe297d7db51487e627,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
500,42,330017,0,9526acd9a13187adc637a789fbb73ed525b37fee37dfb5555eaf3f251a8c2893,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
7,42,355031,0,27b4b3a2fd679cdcd190ccb9c9e0a3aa53ce613cd50f772a935d0bfc70432f18,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
10,42,355031,0,9e99770d9e4e2bddeb0e9eacaf293f29d6311542bedee8e5e86f6ad0f5f6e703,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
20,42,355031,0,7766903ac3bdc18731112db662f7b695db372d2bb8eedf99cbaf19662c4ef93a,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
21,42,355031,0,1b00d0b8a8175024a359730ee83e8bfce079c901fa37a32b00c0dcaac28ed3db,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
35,42,355031,0,647e94b759212fabdb2931ab87c51e03b09c13320648a736168a57b12faf70e8,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
