row_type,comparison,metric,unit_id,source_seed,p4_split_seed,baseline_value,treatment_value,difference,mean_difference,sample_sd_difference,median_difference,minimum_difference,maximum_difference,positive_count,zero_count,negative_count,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_replicates,bootstrap_seed
UNIT,A2_MINUS_A0,accuracy,source_seed_46_split_seed_11,46,11,0.11454983922829581,0.9867363344051447,0.872186495176849,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_46_split_seed_23,46,23,0.11526104417670682,0.9847389558232932,0.8694779116465864,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_46_split_seed_37,46,37,0.11892326235435918,0.98272398553636,0.8638007231820009,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_46_split_seed_53,46,53,0.1157556270096463,0.9871382636655949,0.8713826366559486,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_46_split_seed_71,46,71,0.11527609834744054,0.9834744054816607,0.8681983071342201,,,,,,,,,,,,
SUMMARY,A2_MINUS_A0,accuracy,,,,,,,0.8460927007180316,0.021631556913060204,0.8516727126158807,0.8086816720257234,0.872186495176849,25,0,0,0.8263608444570463,0.8630558134462067,10000,20260729
UNIT,A2_MINUS_A1,macro_f1,source_seed_42_split_seed_11,42,11,0.12406863036319249,0.9823104479356438,0.8582418175724513,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_42_split_seed_23,42,23,0.1182595383517437,0.9859711337661763,0.8677115954144325,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_42_split_seed_37,42,37,0.12613506373333336,0.9887730636191503,0.8626379998858169,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_42_split_seed_53,42,53,0.12454591337458516,0.9867681473783421,0.8622222340037569,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_42_split_seed_71,42,71,0.12038191105200709,0.9907508340336612,0.870368922981654,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_43_split_seed_11,43,11,0.09701474661022383,0.9859214643484739,0.8889067177382501,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_43_split_seed_23,43,23,0.09768589497923622,0.9815219679683391,0.8838360729891029,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_43_split_seed_37,43,37,0.0991042951739175,0.9806443977867357,0.8815401026128182,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_43_split_seed_53,43,53,0.09590556978039592,0.986365435834626,0.8904598660542301,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_43_split_seed_71,43,71,0.09692354013485086,0.9765914656465258,0.8796679255116749,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_44_split_seed_11,44,11,0.10089587759041864,0.9875517982811758,0.8866559206907572,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_44_split_seed_23,44,23,0.10085102747489842,0.9827028440377027,0.8818518165628043,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_44_split_seed_37,44,37,0.10130960138493353,0.9814197063597333,0.8801101049747998,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_44_split_seed_53,44,53,0.10148705911909343,0.9802781257709829,0.8787910666518896,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_44_split_seed_71,44,71,0.10365827893916661,0.9810025200327207,0.8773442410935541,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_45_split_seed_11,45,11,0.14429515505576987,0.984325691724606,0.8400305366688362,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_45_split_seed_23,45,23,0.1458284634852142,0.961943384791165,0.8161149213059509,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_45_split_seed_37,45,37,0.13609126398153407,0.9863066859276787,0.8502154219461446,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_45_split_seed_53,45,53,0.1437059723530754,0.9847194451212806,0.8410134727682053,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_45_split_seed_71,45,71,0.14355858377034567,0.9866960455963889,0.8431374618260432,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_46_split_seed_11,46,11,0.10563949028250143,0.9867488989589577,0.8811094086764563,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_46_split_seed_23,46,23,0.10522131052369499,0.9847228145153321,0.8795015039916371,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_46_split_seed_37,46,37,0.09770809309064886,0.9826742662757886,0.8849661731851397,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_46_split_seed_53,46,53,0.10631977739233725,0.9871889105336685,0.8808691331413313,,,,,,,,,,,,
UNIT,A2_MINUS_A1,macro_f1,source_seed_46_split_seed_71,46,71,0.10695101222056491,0.9834423832059347,0.8764913709853698,,,,,,,,,,,,
SUMMARY,A2_MINUS_A1,macro_f1,,,,,,,0.8697518323693242,0.018769684384673014,0.8787910666518896,0.8161149213059509,0.8904598660542301,25,0,0,0.8523842945864432,0.8829089988162627,10000,20260729
UNIT,A2_MINUS_A1,accuracy,source_seed_42_split_seed_11,42,11,0.17363344051446947,0.9823151125401929,0.8086816720257234,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_42_split_seed_23,42,23,0.13092369477911647,0.9859437751004017,0.8550200803212852,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_42_split_seed_37,42,37,0.176777822418642,0.9887505022097228,0.8119726797910808,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_42_split_seed_53,42,53,0.1752411575562701,0.9867363344051447,0.8114951768488746,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_42_split_seed_71,42,71,0.13301088270858524,0.9907295445384925,0.8577186618299073,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_43_split_seed_11,43,11,0.12339228295819936,0.9859324758842444,0.862540192926045,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_43_split_seed_23,43,23,0.12449799196787148,0.9815261044176706,0.8570281124497992,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_43_split_seed_37,43,37,0.12213740458015267,0.9807151466452391,0.8585777420650864,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_43_split_seed_53,43,53,0.12339228295819936,0.9863344051446945,0.8629421221864951,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_43_split_seed_71,43,71,0.12051592099959693,0.9766223297057638,0.8561064087061668,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_44_split_seed_11,44,11,0.13866559485530547,0.987540192926045,0.8488745980707395,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_44_split_seed_23,44,23,0.12891566265060242,0.9827309236947791,0.8538152610441767,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_44_split_seed_37,44,37,0.13941341904379267,0.9815186822016875,0.8421052631578948,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_44_split_seed_53,44,53,0.1414790996784566,0.9803054662379421,0.8388263665594855,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_44_split_seed_71,44,71,0.14590890769850867,0.98105602579605,0.8351471180975414,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_45_split_seed_11,45,11,0.2037781350482315,0.9843247588424437,0.7805466237942122,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_45_split_seed_23,45,23,0.20481927710843373,0.9618473895582329,0.7570281124497992,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_45_split_seed_37,45,37,0.14905584572117317,0.9863398955403777,0.8372840498192046,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_45_split_seed_53,45,53,0.20337620578778134,0.9847266881028939,0.7813504823151125,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_45_split_seed_71,45,71,0.20233776702942363,0.9866989117291415,0.7843611446997178,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_46_split_seed_11,46,11,0.12057877813504823,0.9867363344051447,0.8661575562700965,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_46_split_seed_23,46,23,0.121285140562249,0.9847389558232932,0.8634538152610441,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_46_split_seed_37,46,37,0.15950180795500202,0.98272398553636,0.823222177581358,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_46_split_seed_53,46,53,0.12178456591639872,0.9871382636655949,0.8653536977491961,,,,,,,,,,,,
UNIT,A2_MINUS_A1,accuracy,source_seed_46_split_seed_71,46,71,0.12132204756146715,0.9834744054816607,0.8621523579201935,,,,,,,,,,,,
SUMMARY,A2_MINUS_A1,accuracy,,,,,,,0.8352704589576095,0.031884109097319834,0.8488745980707395,0.7570281124497992,0.8661575562700965,25,0,0,0.8083896132141378,0.8563646227697044,10000,20260729
