run_id,arm,lambda_max,fold,seed,accuracy,macro_f1,scope
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S3-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S3,46,0.2857142857142857,0.275169059271469,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S1-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S1,42,0.259047619047619,0.2599590928187922,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S1-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S1,43,0.25476190476190474,0.24565819435042233,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S1-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S1,44,0.2604761904761905,0.27066842445578887,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S1-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S1,45,0.26095238095238094,0.24743514021304186,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S1-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S1,46,0.30666666666666664,0.2750366445967915,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S2-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S2,42,0.31761904761904763,0.30197852377811607,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S2-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S2,43,0.21904761904761905,0.20704048682530019,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S2-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S2,44,0.26,0.2522025460742253,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S2-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S2,45,0.25476190476190474,0.24535610624461876,FAMILIAR_SOURCE_INNER_VALIDATION
