run_id,arm,lambda_max,fold,seed,held_position,outer_held_lopo_accuracy,outer_held_lopo_macro_f1,seven_class_chance_reference,selection_use
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S2-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S2,43,P2,0.21968253968253967,0.2111904963694762,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S2-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S2,44,P2,0.1746031746031746,0.17008788088638999,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S2-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S2,45,P2,0.23904761904761904,0.18495431248969219,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S2-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S2,46,P2,0.2384126984126984,0.2309045258790217,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S3-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S3,42,P3,0.2092063492063492,0.15064591493876062,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S3-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S3,43,P3,0.14476190476190476,0.057353688819305866,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S3-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S3,44,P3,0.16380952380952382,0.12501881253908184,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S3-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S3,45,P3,0.23142857142857143,0.14573907188900473,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S3-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S3,46,P3,0.27746031746031746,0.2602876500483862,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S1-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S1,42,P1,0.23682539682539683,0.16597860083712898,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S1-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S1,43,P1,0.1565079365079365,0.059817244323978204,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S1-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S1,44,P1,0.21936507936507937,0.17268432937460074,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S1-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S1,45,P1,0.20507936507936508,0.13765210842043432,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S1-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S1,46,P1,0.23492063492063492,0.15785117253588613,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S2-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S2,42,P2,0.23809523809523808,0.2245278921547782,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S2-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S2,43,P2,0.18857142857142858,0.17957898205026349,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S2-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S2,44,P2,0.14222222222222222,0.12314349131248603,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S2-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S2,45,P2,0.19047619047619047,0.15648694494620677,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S2-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S2,46,P2,0.26666666666666666,0.19015185486758576,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S3-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S3,42,P3,0.16634920634920636,0.1133552035852289,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S3-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S3,43,P3,0.21746031746031746,0.12998037188977027,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S3-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S3,44,P3,0.21142857142857144,0.14238275620002222,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S3-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S3,45,P3,0.23047619047619047,0.15268311126493933,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S3-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S3,46,P3,0.13111111111111112,0.09893273332572036,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S1-S42,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S1,42,P1,0.22095238095238096,0.16606360391466637,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S1-S43,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S1,43,P1,0.20539682539682538,0.11703317709628881,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S1-S44,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S1,44,P1,0.22031746031746033,0.1683066724727166,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S1-S45,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S1,45,P1,0.21968253968253967,0.1306118331568847,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S1-S46,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S1,46,P1,0.17238095238095238,0.08434728416397355,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S2-S42,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S2,42,P2,0.23714285714285716,0.1878372733920733,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S2-S43,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S2,43,P2,0.23555555555555555,0.23030927706000542,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S2-S44,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S2,44,P2,0.20317460317460317,0.18432686246842497,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S2-S45,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S2,45,P2,0.20634920634920634,0.17387468047435403,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S2-S46,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S2,46,P2,0.20666666666666667,0.1752381522301347,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S3-S42,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S3,42,P3,0.18349206349206348,0.11949602443208929,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S3-S43,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S3,43,P3,0.15841269841269842,0.09797959094328548,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S3-S44,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S3,44,P3,0.2222222222222222,0.166719472219629,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S3-S45,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S3,45,P3,0.22920634920634922,0.12206989927241818,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S3-S46,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S3,46,P3,0.11936507936507937,0.08405069554923665,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S1-S42,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S1,42,P1,0.2126984126984127,0.12519934037453728,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S1-S43,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S1,43,P1,0.23555555555555555,0.18502518140789873,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S1-S44,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S1,44,P1,0.22158730158730158,0.16455759177837462,0.14285714285714285,DIAGNOSTIC_ONLY
