run_id,arm,lambda_max,fold,seed,tagid_probe_macro_f1,chance_reference,probe_train,probe_test
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S3-S44,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S3,44,0.2559137594431712,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S3-S45,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S3,45,0.2771949479092336,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S3-S46,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S3,46,0.25648002790859936,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S1-S42,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S1,42,0.2938512281369424,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S1-S43,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S1,43,0.18883878026735168,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S1-S44,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S1,44,0.23858250256304214,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S1-S45,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S1,45,0.19795410938268082,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S1-S46,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S1,46,0.23546104688961833,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S2-S42,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S2,42,0.22891743177457466,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S2-S43,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S2,43,0.1948606364395838,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S2-S44,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S2,44,0.2368379239807811,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S2-S45,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S2,45,0.24176228533371388,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S2-S46,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S2,46,0.26294277151420004,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S3-S42,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S3,42,0.15880500451929022,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S3-S43,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S3,43,0.2581596181596182,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S3-S44,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S3,44,0.20524174238459952,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S3-S45,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S3,45,0.2750042814328528,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S3-S46,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S3,46,0.22073944263019896,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.10-S1-S42,ARM_A2_DANN_NEGATIVE_MATCHED,0.1,S1,42,0.3107660593374879,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
