contrast,lambda_max,endpoint,point_estimate,lower_95,upper_95,paired_unit,unit_contrasts,replicates,rng_seed,contrast_specific_seed_offset
A1-A0,0.03,position_probe_macro_f1,0.0063345849113626874,-0.0007682007101534964,0.013825665001427435,fold_x_seed,"[0.004921744921744908,0.0,-0.023986013986013743,0.042757020819981784,-2.160818950380783e-05,0.0,0.00953461361856156,0.0,0.0,0.009561697519723467,0.019074666116639882,0.014570207318363892,0.014745742752936053,-0.007669556676080824,0.011530259454087144]",10000,20260809,False
A1-A0,0.03,tagid_probe_macro_f1,0.003995375142655107,-0.007455809885398555,0.01587203798748468,fold_x_seed,"[0.05471369899941331,-0.0409942438513867,0.022818609961467062,0.029600241028812452,0.004634254634254598,-0.0038818324532610693,-0.01395540279662344,0.016890886890886886,-0.010077597472555433,-0.031383378526235656,0.006911184054041203,0.0003215831787259926,-0.0012253013093349308,0.021165039442350375,0.0043928853592719586]",10000,20260809,False
A2-A0,0.03,familiar_validation_macro_f1,0.005237759266199143,-0.006655206552497954,0.01631184844627901,fold_x_seed,"[0.021526178131393015,0.01923187400501103,0.011422531846648931,0.03551580309768593,-0.016248131883195516,0.003334731650446565,0.007761276681026885,-0.0038298165907812987,-0.044482444233416074,0.039301814541668034,-0.035166211905993505,0.02245383191819117,-0.004468453786009879,0.019428246275790484,0.0027851592445213846]",10000,20260809,False
A2-A0,0.03,position_probe_macro_f1,0.0011486430587399176,-0.011312533335083714,0.012240433377081935,fold_x_seed,"[0.004921744921744908,-0.03811684628474199,-0.05237799258786213,0.042757020819981784,0.0,0.0,-0.014342546279585311,0.004748362811323736,0.0,0.004802493781506878,-0.005091695427624443,0.02412642912642904,0.024469759518926826,0.0,0.02133291548099947]",10000,20260809,False
A2-A0,0.03,tagid_probe_macro_f1,-0.005233689157174343,-0.020691880836496052,0.010179321454586818,fold_x_seed,"[0.053853923853923846,-0.05707467136038566,0.01111980652891753,-0.008779474493760209,0.014245119959405667,-0.011635348778205906,0.006248837407616725,0.01906617192331478,-0.02274299463375093,-0.0013191570334427638,-0.019000047571476164,0.04033173176030319,-0.042950382950382976,-0.00023547880690738543,-0.059633373162784886]",10000,20260809,False
A2-A1,0.03,familiar_validation_macro_f1,-0.004342098899556126,-0.018007639988359612,0.010074294496637777,fold_x_seed,"[0.018962232770487364,0.022299405801996297,-0.0033949705139633135,-0.03137429594359892,-0.03811150546848574,-0.040928870196536904,-0.013726251692290081,-0.0023983150216300153,-0.0161007863800533,0.059791447037469136,-0.04023908254945768,0.007478338424370012,-0.021166768961668553,0.010521490041492887,0.023256449158526926]",10000,20260809,False
A2-A1,0.03,position_probe_macro_f1,-0.00518594185262277,-0.01315958986290434,0.0019950274980476443,fold_x_seed,"[0.0,-0.03811684628474199,-0.02839197860184839,0.0,2.160818950380783e-05,0.0,-0.02387715989814687,0.004748362811323736,0.0,-0.004759203738216589,-0.024166361544264325,0.009556221808065146,0.009724016765990773,0.007669556676080824,0.009802656026912326]",10000,20260809,False
A2-A1,0.03,tagid_probe_macro_f1,-0.00922906429982945,-0.02259618476884068,0.004330204605868032,fold_x_seed,"[-0.0008597751454894609,-0.016080427508998962,-0.011698803432549532,-0.03837971552257266,0.009610865325151069,-0.007753516324944837,0.020204240204240165,0.0021752850324278927,-0.012665397161195496,0.030064221492792892,-0.025911231625517367,0.0400101485815772,-0.041725081641048045,-0.02140051824925776,-0.06402625852205684]",10000,20260809,False
A1-A0,0.1,familiar_validation_macro_f1,0.0034704749686835217,-0.006672002947504672,0.013131601386060574,fold_x_seed,"[-0.0056838000421208235,0.02102664582933292,-0.0015527045919063176,0.030307652379895383,-0.003136201480479217,0.009009102585085693,-0.004781159731538642,0.007686171025143018,-0.027913738416446676,-0.02802536538948497,-0.027154292517255763,0.02483268638473335,0.029931439687771316,0.02128813038990718,0.006222558417616375]",10000,20260809,False
A1-A0,0.1,position_probe_macro_f1,0.004445141399639763,-0.007229396327306268,0.016390443304955427,fold_x_seed,"[-0.009388278577161069,0.0,-0.04291375291375288,0.0,0.014277611214650321,0.0,0.0,0.014353313542196044,-0.01905842314237094,0.009561697519723467,-0.004632987150149703,0.03362322841335885,0.05777330792740998,-0.018525599946311866,0.03160700410700423]",10000,20260809,False
A1-A0,0.1,tagid_probe_macro_f1,-0.010519509124551137,-0.02500171328826791,0.0035007011196086764,fold_x_seed,"[0.03489502560931135,-0.04305440591154877,0.006519829376972208,-0.013364096221239075,0.010125905840191546,-0.060063428634857224,0.009135197202424117,0.023226931798360412,-0.04444232704736903,-0.001405261405261371,0.008897078644977796,0.006320346320346282,-0.04825419211973836,-0.00489621489621489,-0.041433025424622044]",10000,20260809,False
