method,lambda_max,fold,seed,tagid_probe_macro_f1,position_silhouette,tagid_silhouette,embedding_norm_mean,within_class_cross_position_distance,between_class_distance,position_vs_tagid_separability_ratio,domain_head_train_accuracy,domain_head_validation_accuracy
DANN,0.3,S3,43,1.0,0.009643167479001786,0.26704823217025464,8.26958031586148,2.3323770276207862,3.695298350683117,0.6354077681020933,0.4746031746031746,0.5
DANN,0.3,S3,44,0.43498508494306815,0.03975014838228142,-0.06010063529995118,7.276341097345131,1.521669784283072,1.6539397032606675,0.9406739620990029,0.5,0.6919047619047619
DANN,0.3,S3,45,0.9760239760239762,0.011369950688159856,0.16640542644868608,8.899095392065645,2.0033907293146176,2.9580435726658907,0.6824596669542866,0.6842857142857143,0.5
DANN,0.3,S3,46,1.0,0.01292851166801582,0.2988006444456576,8.672016211241415,2.4371833480776797,3.934979358291915,0.62452016614277,0.5,0.49714285714285716
DANN,1.0,S1,42,0.329051504051504,0.1529291320112327,-0.0973184237653619,13.715552915506255,0.7122019820000276,0.7333666458409764,1.0618174410514714,0.5,0.5
DANN,1.0,S1,43,0.45270958733143607,0.15693920891929014,-0.05471223491111449,8.740517384370161,1.2126085697024989,1.1974745444178458,1.1095060022963823,0.5,0.5
DANN,1.0,S1,44,0.29477776192061905,0.2975411430618393,-0.11911158925621212,14.483890438728938,0.43785358624996923,0.37405135973916065,1.4502722565810684,0.5,0.5
DANN,1.0,S1,45,0.4012165052501187,0.2564671951300691,-0.067655122877167,11.731820343636585,0.7971575693194738,0.7143017208240329,1.325699376606656,0.5,0.5
DANN,1.0,S1,46,0.23947201258125625,0.16693338782053857,-0.10275382762315051,13.594969163169614,0.43169243537241986,0.4225336595963486,1.136053747867561,0.5,0.5
DANN,1.0,S2,42,0.10555403979773728,0.20027334411023348,-0.1003100549591806,15.014464971001557,0.4469627932271291,0.40948893120445323,1.2615674511225523,0.5,0.5
